"title","abstract","keywords"
"DEAI '24: Proceedings of the 2024 Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial Intelligence","",""
"CNSM '22: Proceedings of the 18th International Conference on Network and Service Management","CNSM 2022 focuses on the theme ""Intelligent Management of Disruptive Network Technologies and Services"", that aims at capturing emerging approaches and intelligent solutions for dealing with disruptive network technologies, as well as associated services and applications.",""
"IVA '23: Proceedings of the 23rd ACM International Conference on Intelligent Virtual Agents","This volume contains the papers presented at the 23nd International Conference on Intelligent Virtual Agents (IVA 2023) located in W\"{u}rzburg, Germany, from 19. to 22.09.2023.",""
"AIES '23: Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society","",""
"IoT '22: Proceedings of the 12th International Conference on the Internet of Things","",""
"SBGames '23: Proceedings of the 22nd Brazilian Symposium on Games and Digital Entertainment","",""
"SVR '22: Proceedings of the 24th Symposium on Virtual and Augmented Reality","",""
"SAC '23: Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing","",""
"CHI '24: Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems","",""
"SIGGRAPH '23: ACM SIGGRAPH 2023 Conference Proceedings","",""
"ICMML '24: Proceedings of the 2024 International Conference on Mathematics and Machine Learning","",""
"CMSDA '24: Proceedings of the 2024 4th International Conference on Computational Modeling, Simulation and Data Analysis","",""
"ACSW '23: Proceedings of the 2023 Australasian Computer Science Week","",""
"ICISS '22: Proceedings of the 5th International Conference on Information Science and Systems","",""
"ICCAI '23: Proceedings of the 2023 9th International Conference on Computing and Artificial Intelligence","",""
"GoodIT '24: Proceedings of the 2024 International Conference on Information Technology for Social Good","",""
"SETN '24: Proceedings of the 13th Hellenic Conference on Artificial Intelligence","",""
"CSAIDE '24: Proceedings of the 2024 3rd International Conference on Cyber Security, Artificial Intelligence and Digital Economy","",""
"Scene graph adapter: an efficient architecture to improve interoperability between 3D formats and 3D applications engines","We present a generic architecture which enables the loading of several 3D formats in most 3D application engines. The purpose of this work is to solve the interoperability issue among 3D formats raised by the multiplicity of formats. We propose a programming interface, the Scene Graph Adapter, that allows mixing several 3D formats in a single application without transcoding. The Scene Graph Adapter is composed of two API; a first one that wraps each 3D format and a second one that wraps rendering engines. Wrappers created thanks to these API can be reused in other applications based on the Scene Graph Adapter. The paper introduces our approach and gives an implementation example.","web3D, virtual worlds, software architecture, rendering, interoperability, 3D format"
"ICCNS '23: Proceedings of the 2023 13th International Conference on Communication and Network Security","",""
"IoTAAI '23: Proceedings of the 2023 5th International Conference on Internet of Things, Automation and Artificial Intelligence","",""
"CAICE '25: Proceedings of the 4th International Conference on Computer, Artificial Intelligence and Control Engineering","",""
"ICCIP '23: Proceedings of the 2023 9th International Conference on Communication and Information Processing","",""
"ICBAR '23: Proceedings of the 2023 3rd International Conference on Big Data, Artificial Intelligence and Risk Management","",""
"ICAICE '23: Proceedings of the 4th International Conference on Artificial Intelligence and Computer Engineering","",""
"ACM SIGCOMM '23: Proceedings of the ACM SIGCOMM 2023 Conference","",""
