"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Approach for Integrating 3D Virtual Worlds with Multiagent Systems","J. Blair; F. Lin","School of Computing and Information Systems, Athabasca University, Banff, AB, Canada; School of Computing and Information Systems, Athabasca University, Athabasca, Canada",2011 IEEE Workshops of International Conference on Advanced Information Networking and Applications,"5 May 2011","2011","","","580","585","Education is incorporating more and more of the capabilities provided by the Internet. One such move is the incorporation of 3D virtual worlds in the learning environment. Another is the increasing development of multiagent systems that support the learner or the tutor. Integrating pedagogically based multiagent systems with 3D virtual worlds could provide a more engaging immersive learning environment. This paper explores the feasibility of integrating a 3D virtual world with a pedagogical multiagent system named QuizMASter, an educational game for elearning that helps students learn their course material through friendly competition. The integration was developed by devising, implementing and testing an approach using open source technologies, namely, Open Wonderland and JADE. The result is encouraging as the integration is technically feasible, not overly difficult and opens a door to further integration opportunities.","","978-1-61284-829-7","10.1109/WAINA.2011.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5763564","Education;Multi User Virtual Environment;3D Virtual Worlds;Multiagent Systems","Three dimensional displays;Multiagent systems;Games;Computer architecture;Java;Artificial intelligence;Collaboration","","13","","22","IEEE","5 May 2011","","","IEEE","IEEE Conferences"
"Multiagent interactions in distributed virtual worlds","F. Wang; S. J. Turner; L. Wang","Parallel & Distributed Computing Centre, School of Computer Engineering, Nanyang Technological University, Singapore; Parallel & Distributed Computing Centre, School of Computer Engineering, Nanyang Technological University, Singapore; Parallel & Distributed Computing Centre, School of Computer Engineering, Nanyang Technological University, Singapore",2004 IEEE Region 10 Conference TENCON 2004.,"23 May 2005","2004","B","","345","348 Vol. 2","Multiagent systems provide a valuable tool for handling increasing software complexity and supporting rapid and accurate problem solving. This paper presents a general architecture in which autonomous agents are embedded in a distributed virtual environment and are enabled to communicate with each other. We focus on the interaction issues, using cooperation and coordination patterns. Different cases of the agents' teamwork to improve their efficiency are investigated and compared. A prototype system has been implemented, with message templates and algorithms identified. Finally, some experimental results are given.","","0-7803-8560-8","10.1109/TENCON.2004.1414602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1414602","","Problem-solving;Computational modeling;Distributed computing;Multiagent systems;Software tools;Autonomous agents;Virtual environment;Prototypes;Application software;Concurrent computing","","1","","10","IEEE","23 May 2005","","","IEEE","IEEE Conferences"
"A rumination on human-centered automation world: multiagent system, human interface and people's lifestyle","H. Yoshikawa","Graduate School of Energy Science, Kyoto University, Uji, Kyoto, Japan","IEEE SMC'99 Conference Proceedings. 1999 IEEE International Conference on Systems, Man, and Cybernetics (Cat. No.99CH37028)","6 Aug 2002","1999","3","","669","674 vol.3","The cyberworld or cybersociety of the future is discussed with respect to: (i) its significance, (ii) the infrastructure of such a world, (iii) the plausible configurations of a cybersociety which comprises an information community of virtual schools, libraries, factories, offices, communities and homes, etc., connected via the information highway, and (iv) people's lifestyles. Then, human interfaces, virtual reality and agents are discussed as the key technologies for realizing the cybersociety. Lastly, an interface agent of a virtual collaborator is proposed as a humanized intelligent interface agent system for helping with the operation and maintenance tasks of automated plants in the future.","1062-922X","0-7803-5731-0","10.1109/ICSMC.1999.823308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=823308","","Multiagent systems;Manufacturing automation;Office automation;Home automation;Educational institutions;Libraries;Production facilities;Automated highways;Humans;Virtual reality","","","","8","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"A multiagent architecture for distributed virtual environments","V. Rodin; A. Nedelec","Ecole Nationale d&@x0027;Ingénieurs de Brest-EA 2215/LI2, Technopôle Brest-Iroise, Brest, France; Ecole Nationale d&@x0027;Ingénieurs de Brest-EA 2215/LI2, Technopôle Brest-Iroise, Brest, France","Smc 2000 conference proceedings. 2000 ieee international conference on systems, man and cybernetics. 'cybernetics evolving to systems, humans, organizations, and their complex interactions' (cat. no.0","6 Aug 2002","2000","2","","955","960 vol.2","This paper introduces a distributed virtual reality platform based on oRis, our dynamic and interpreted multiagent language. This platform, called AReViDis, has been designed for collaborative interactive prototyping. Thanks to the dynamic properties of oRis, we propose to let the designers of a system enter inside the system and dynamically build and modify the model. During an AReViDis session, this language allows the addition or the modification of virtual agents in a distributed virtual environment. These modifications may either be introduced by the agents themselves or by the users through various human computer interfaces. These modifications may also be received by the network allowing communications in shared virtual worlds.","1062-922X","0-7803-6583-6","10.1109/ICSMC.2000.885973","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=885973","","Virtual reality;Application software;Humans;Virtual prototyping;Dynamic programming;Collaboration;Virtual environment;Face;Collaborative work;Prototypes","","2","","11","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Transforming Learning through Agent Augmented Virtual World","H. Yu; Z. Shen; C. P. Low; C. Miao","Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; Nanyang Technological University, Singapore",2008 Eighth IEEE International Conference on Advanced Learning Technologies,"15 Jul 2008","2008","","","933","937","Recent years have seen new forms of immersive learning such as interactive storytelling in virtual learning environment. Intelligent software agents are able to provide a more attractive narrative and get the users more involved in the unfolding of the story line in the virtual world. However, designing and implementing a software agent or a multi-agent system (MAS) for this purpose requires the developer to be highly skilled in agent oriented software engineering (AOSE) and a large investment in time and effort. This raises the hurdle to develop non-trivial agent augmented interactive e-learning applications. Our research proposes a framework - the multi-agent development environment (MADE) - to resolve this problem by abstracting the agent implementation part into a reusable runtime environment so as to enable less technically inclined people (e.g. teachers) and developers with limited knowledge in AOSE to rapidly prototype a multi-agent system to be incorporated into interactive learning applications.","2161-377X","978-0-7695-3167-0","10.1109/ICALT.2008.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4561872","Multi-agent Systems;Agent-augmented Virtual Environment;Agent-mediated Immersive Learning","Multiagent systems;Application software;Intelligent agent;Software agents;Electronic learning;Software engineering;Investments;Runtime environment;Avatars;Humans","","4","","15","IEEE","15 Jul 2008","","","IEEE","IEEE Conferences"
"Intelligent Objects to Facilitate Human Participation in Virtual Institutions","I. Rodriguez; A. Puig; M. Esteva; C. Sierra; A. Bogdanovych; S. Simoff","Applied Mathematics Department, University Autònoma de Barcelona, Spain; Applied Mathematics Department, University Autònoma de Barcelona, Spain; Artificial Intelligence Research Institute, Barcelona, Spain; Artificial Intelligence Research Institute, Barcelona, Spain; School of Computing and Mathematics, University of Western Ontario, Australia; School of Computing and Mathematics, University of Western Ontario, Australia",2008 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,"6 Jan 2009","2008","1","","196","199","Our research combines electronic institutions and 3D virtual worlds for the construction of virtual institutions which are virtual worlds with normative regulation of interactions. That is, a virtual world where participants actions have to comply with predefined institutional rules. In this context, the actions a participant may perform depend on the institutional rules and the current execution state. We propose to include iObjects, intelligent objects, as entities having both visualization properties and decision mechanisms in the virtual institution. They are a new key element to improve users participation in virtual institutions. We situate them in a middleware infrastructure in order to be independent of 3D virtual world platform and to provide a general solution in which participants could be connected from different immersive environment platforms.","","978-0-7695-3496-1","10.1109/WIIAT.2008.320","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4740448","virtual environments;normative multiagent systems;virtual institutions;intelligent objects","Humans;Intelligent agent;Visualization;Artificial intelligence;Avatars;Mathematics;Software agents;Multiagent systems;Mechanical factors;Middleware","","2","","11","IEEE","6 Jan 2009","","","IEEE","IEEE Conferences"
"Real World Embedded Multiagent Systems: Simulation of Hardware/Software Mixed Agent Societes in Realistic Physical Models","J. -P. Jamont; M. Occello; E. Mendes","LCIS Laboratories, University of Grenoble II, Valence, France; LCIS Laboratories, University of Grenoble II, Valence, France; LCIS Laboratories, Grenoble Institute of Technology, Valence, France",2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,"10 Oct 2011","2011","2","","435","436","This paper present a multiagent framework which enables the design and the test of real world embedded multiagent systems based on decentralized intelligence. The associated demonstration insists on the interactions between real world and virtual agents, the simulation of realistic physical environment.","","978-1-4577-1373-6","10.1109/WI-IAT.2011.227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6040672","simulation;real world multiagent systems;embedded agents;environment model","Computational modeling;Software;Hardware;Multiagent systems;Multi-stage noise shaping;Energy consumption;Context modeling","","","","4","IEEE","10 Oct 2011","","","IEEE","IEEE Conferences"
"Multimodal interaction in a haptic environment","A. Nijholt; S. Kole; J. Zwiers","CTIT, University of Twente, Enschede, Netherlands; CTIT, University of Twente, Enschede, Netherlands; CTIT, University of Twente, Enschede, Netherlands",First Joint Eurohaptics Conference and Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems. World Haptics Conference,"4 Apr 2005","2005","","","467","470","In this paper we investigate the introduction of haptics in a multimodal tutoring environment. In this environment a haptic device is used to control a virtual piece of sterile cotton and a virtual injection needle. Speech input and output is provided to interact with a virtual tutor, available as a talking head, and a virtual patient. We introduce the haptic tasks and how different agents in the multi-agent system are made responsible for them. Notes are provided about the way we introduce an affective model in the tutor agent.","","0-7695-2310-2","10.1109/WHC.2005.98","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1406971","","Haptic interfaces;Needles;Speech;Cotton;Virtual reality;Keyboards;Graphics;Multiagent systems;Medical services;Instruments","","5","","6","IEEE","4 Apr 2005","","","IEEE","IEEE Conferences"
"NEXUS: Fusing the Real & the Virtual","B. R. Duffy; G. M. P. O'Hare; A. G. Campbell; J. Stafford; M. J. O'Grady","Multimedia and Communications Department, Institut Eurecom, Sophia-Antipolis, France; School of Computer Science & Informatics, University College Dublin, Belfield, Ireland; School of Computer Science & Informatics, University College Dublin, Belfield, Ireland; School of Computer Science & Informatics, University College Dublin, Belfield, Ireland; School of Computer Science & Informatics, University College Dublin, Belfield, Ireland","EUROCON 2005 - The International Conference on ""Computer as a Tool""","15 May 2006","2005","1","","716","719","The aim of this project has been to create NEXUS, a framework that supports fusion of the physical and the virtual, creating a single world in which people can interact with deliberative agents in their own space. This work promotes a more orthogonal perspective for the development of artificial systems and their functionality as tools. This NEXUS becomes a place in which virtual and physical information spaces become entwined, resulting in the entities that inhabit this space being able to interact in a seamless fashion. The level of interaction envisaged is not simply a matter of people controlling the form of a virtual space, or even one of artificial entities that control the form of a physical space. Instead, we view the NEXUS as a fusion of physical and virtual spaces in which a number of entities jointly interact. This then facilitates the coherent integration of humans and the digital information space","","1-4244-0049-X","10.1109/EURCON.2005.1630031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1630031","Augmented reality;control architectures;multi-agent systems","Humans;Avatars;Augmented reality;Cognition;Virtual reality;Control systems;Multiagent systems;Bridges;Computer science;Informatics","","","","12","IEEE","15 May 2006","","","IEEE","IEEE Conferences"
"Agent Architectures for Intelligent Virtual Environments","A. Barella; C. Carrascosa; V. Botti","Department of Information Systems and Computation, Technical University of Valencia, Valencia, Spain; Department of Information Systems and Computation, Technical University of Valencia, Valencia, Spain; Department of Information Systems and Computation, Technical University of Valencia, Valencia, Spain",2007 IEEE/WIC/ACM International Conference on Intelligent Agent Technology (IAT'07),"22 Apr 2008","2007","","","532","535","This paper presents a new approach to integrate artificial intelligence in virtual environments. The system presented deals in a separated way the visualization and intelligence modules, applying in this last case a distributed approach (multi-agent systems) so that scalable applications may be built. Therefore, it is necessary to define agent architectures that allow agents to be integrated in the VW. Thus, a designer is abstracted from the peculiarities of interacting with a virtual environment. There is a first prototype of the framework using JADE as the supporting multi-agent systems platform.","","978-0-7695-3027-7","10.1109/IAT.2007.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4407340","","Intelligent agent;Virtual environment;Artificial intelligence;Multiagent systems;Engines;Computer architecture;Visualization;Virtual reality;Computer graphics;Delay","","10","","18","IEEE","22 Apr 2008","","","IEEE","IEEE Conferences"
