Title,Abstract,Keywords
An Approach for Integrating 3D Virtual Worlds with Multiagent Systems,"Education is incorporating more and more of the capabilities provided by the Internet. One such move is the incorporation of 3D virtual worlds in the learning environment. Another is the increasing development of multiagent systems that support the learner or the tutor. Integrating pedagogically based multiagent systems with 3D virtual worlds could provide a more engaging immersive learning environment. This paper explores the feasibility of integrating a 3D virtual world with a pedagogical multiagent system named QuizMASter, an educational game for elearning that helps students learn their course material through friendly competition. The integration was developed by devising, implementing and testing an approach using open source technologies, namely, Open Wonderland and JADE. The result is encouraging as the integration is technically feasible, not overly difficult and opens a door to further integration opportunities.",Education;Multi User Virtual Environment;3D Virtual Worlds;Multiagent Systems
Multiagent interactions in distributed virtual worlds,"Multiagent systems provide a valuable tool for handling increasing software complexity and supporting rapid and accurate problem solving. This paper presents a general architecture in which autonomous agents are embedded in a distributed virtual environment and are enabled to communicate with each other. We focus on the interaction issues, using cooperation and coordination patterns. Different cases of the agents' teamwork to improve their efficiency are investigated and compared. A prototype system has been implemented, with message templates and algorithms identified. Finally, some experimental results are given.",
"A rumination on human-centered automation world: multiagent system, human interface and people's lifestyle","The cyberworld or cybersociety of the future is discussed with respect to: (i) its significance, (ii) the infrastructure of such a world, (iii) the plausible configurations of a cybersociety which comprises an information community of virtual schools, libraries, factories, offices, communities and homes, etc., connected via the information highway, and (iv) people's lifestyles. Then, human interfaces, virtual reality and agents are discussed as the key technologies for realizing the cybersociety. Lastly, an interface agent of a virtual collaborator is proposed as a humanized intelligent interface agent system for helping with the operation and maintenance tasks of automated plants in the future.",
A multiagent architecture for distributed virtual environments,"This paper introduces a distributed virtual reality platform based on oRis, our dynamic and interpreted multiagent language. This platform, called AReViDis, has been designed for collaborative interactive prototyping. Thanks to the dynamic properties of oRis, we propose to let the designers of a system enter inside the system and dynamically build and modify the model. During an AReViDis session, this language allows the addition or the modification of virtual agents in a distributed virtual environment. These modifications may either be introduced by the agents themselves or by the users through various human computer interfaces. These modifications may also be received by the network allowing communications in shared virtual worlds.",
Transforming Learning through Agent Augmented Virtual World,"Recent years have seen new forms of immersive learning such as interactive storytelling in virtual learning environment. Intelligent software agents are able to provide a more attractive narrative and get the users more involved in the unfolding of the story line in the virtual world. However, designing and implementing a software agent or a multi-agent system (MAS) for this purpose requires the developer to be highly skilled in agent oriented software engineering (AOSE) and a large investment in time and effort. This raises the hurdle to develop non-trivial agent augmented interactive e-learning applications. Our research proposes a framework - the multi-agent development environment (MADE) - to resolve this problem by abstracting the agent implementation part into a reusable runtime environment so as to enable less technically inclined people (e.g. teachers) and developers with limited knowledge in AOSE to rapidly prototype a multi-agent system to be incorporated into interactive learning applications.",Multi-agent Systems;Agent-augmented Virtual Environment;Agent-mediated Immersive Learning
Intelligent Objects to Facilitate Human Participation in Virtual Institutions,"Our research combines electronic institutions and 3D virtual worlds for the construction of virtual institutions which are virtual worlds with normative regulation of interactions. That is, a virtual world where participants actions have to comply with predefined institutional rules. In this context, the actions a participant may perform depend on the institutional rules and the current execution state. We propose to include iObjects, intelligent objects, as entities having both visualization properties and decision mechanisms in the virtual institution. They are a new key element to improve users participation in virtual institutions. We situate them in a middleware infrastructure in order to be independent of 3D virtual world platform and to provide a general solution in which participants could be connected from different immersive environment platforms.",virtual environments;normative multiagent systems;virtual institutions;intelligent objects
Real World Embedded Multiagent Systems: Simulation of Hardware/Software Mixed Agent Societes in Realistic Physical Models,"This paper present a multiagent framework which enables the design and the test of real world embedded multiagent systems based on decentralized intelligence. The associated demonstration insists on the interactions between real world and virtual agents, the simulation of realistic physical environment.",simulation;real world multiagent systems;embedded agents;environment model
Multimodal interaction in a haptic environment,"In this paper we investigate the introduction of haptics in a multimodal tutoring environment. In this environment a haptic device is used to control a virtual piece of sterile cotton and a virtual injection needle. Speech input and output is provided to interact with a virtual tutor, available as a talking head, and a virtual patient. We introduce the haptic tasks and how different agents in the multi-agent system are made responsible for them. Notes are provided about the way we introduce an affective model in the tutor agent.",
NEXUS: Fusing the Real & the Virtual,"The aim of this project has been to create NEXUS, a framework that supports fusion of the physical and the virtual, creating a single world in which people can interact with deliberative agents in their own space. This work promotes a more orthogonal perspective for the development of artificial systems and their functionality as tools. This NEXUS becomes a place in which virtual and physical information spaces become entwined, resulting in the entities that inhabit this space being able to interact in a seamless fashion. The level of interaction envisaged is not simply a matter of people controlling the form of a virtual space, or even one of artificial entities that control the form of a physical space. Instead, we view the NEXUS as a fusion of physical and virtual spaces in which a number of entities jointly interact. This then facilitates the coherent integration of humans and the digital information space",Augmented reality;control architectures;multi-agent systems
Agent Architectures for Intelligent Virtual Environments,"This paper presents a new approach to integrate artificial intelligence in virtual environments. The system presented deals in a separated way the visualization and intelligence modules, applying in this last case a distributed approach (multi-agent systems) so that scalable applications may be built. Therefore, it is necessary to define agent architectures that allow agents to be integrated in the VW. Thus, a designer is abstracted from the peculiarities of interacting with a virtual environment. There is a first prototype of the framework using JADE as the supporting multi-agent systems platform.",
