title,abstract,keywords
A Proportional Work Analysis to Significant Approaches in Blockchain for Supply-Chain Technology,"Modern technologies have replaced many of the conventional managerial work areas. Blockchain, one of the newest head-turn technologies, is attempting to highlight this apparent tactic. Improvements in the supply chain and logistics are desperately needed. There is constant pressure on these sectors to develop and seek out better solutions because almost all businesses rely on them to function efficiently. Blockchain technology, with its decentralized and publicly accessible nature, has provided answers to many of the problems that industry stakeholders are currently considering. The traceability, transparency, and openness of BCT are highlighted in this study as ways in which it benefits the supply chain sector. The top nations with publications about blockchain technology include China, the United States, Singapore, India, and Sweden. The rapid advancement of technology has made it necessary to stay current with the latest developments to stay ahead of the game. The main involvement of this work is a methodical, cyclical assessment of research and reference analysis to improve application and offer a better knowledge of the trajectory of these developments.","blockchain, supply chain;logistics;business, analysis, review, data"
The power and potentials of Flexible Query Answering Systems: A critical and comprehensive analysis,"The popularity of chatbots, such as ChatGPT, has brought research attention to question answering systems, capable to generate natural language answers to user’s natural language queries. However, also in other kinds of systems, flexibility of querying, including but also going beyond the use of natural language, is an important feature. With this consideration in mind the paper presents a critical and comprehensive analysis of recent developments, trends and challenges of Flexible Query Answering Systems (FQASs). Flexible query answering is a multidisciplinary research field that is not limited to question answering in natural language, but comprises other query forms and interaction modalities, which aim to provide powerful means and techniques for better reflecting human preferences and intentions to retrieve relevant information. It adopts methods at the crossroad of several disciplines among which Information Retrieval (IR), databases, knowledge based systems, knowledge and data engineering, Natural Language Processing (NLP) and the semantic web may be mentioned. The analysis principles are inspired by the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) framework, characterized by a top-down process, starting with relevant keywords for the topic of interest to retrieve relevant articles from meta-sources And complementing these articles with other relevant articles from seed sources Identified by a bottom-up process. to mine the retrieved publication data a network analysis is performed Which allows to present in a synthetic way intrinsic topics of the selected publications. issues dealt with are related to query answering methods Both model-based and data-driven (the latter based on either machine learning or deep learning) And to their needs for explainability and fairness to deal with big data Notably by taking into account data veracity. conclusions point out trends and challenges to help better shaping the future of the FQAS field.","Flexible query answering, Model-based query answering, Data-driven query answering"
Synthetic human gonadal tissues for toxicology,"The process of mammalian reproduction involves the development of fertile germ cells in the testis and ovary, supported by the surrounders. Fertilization leads to embryo development and ultimately the birth of offspring inheriting parental genome information. Any disruption in this process can result in disorders such as infertility and cancer. Chemical toxicity affecting the reproductive system and embryogenesis can impact birth rates, overall health, and fertility, highlighting the need for animal toxicity studies during drug development. However, the translation of animal data to human health remains challenging due to interspecies differences. In vitro culture systems offer a promising solution to bridge this gap, allowing the study of mammalian cells in an environment that mimics the physiology of the human body. Current advances on in vitro culture systems, such as organoids, enable the development of biomaterials that recapitulate the physiological state of reproductive organs. Application of these technologies to human gonadal cells would provide effective tools for drug screening and toxicity testing, and these models would be a powerful tool to study reproductive biology and pathology. This review focuses on the 2D/3D culture systems of human primary testicular and ovarian cells, highlighting the novel approaches for in vitro study of human reproductive toxicology, specifically in the context of testis and ovary.","2D culture, 3D culture, reproductive organ, human, toxicity"
Research progress of tourism marketing over 30 years: Bibliometrics based on CiteSpace,"Tourism marketing is significant to the national economy and industry growth and has been a hot research field. However, current studies usually analyze this field from specific aspects and lack comprehensive views. To solve this problem, we use CiteSpace to analyze tourism marketing research from statistical, collaboration, co-citation, and co-occurrence perspectives, construct a knowledge framework, and pinpoint future research directions to depict its dynamic evolution for 30 years comprehensively. We find that this field has received increasing attention annually with fluctuations; the active collaborating institutions are located globally, whose regions are also active collaborators; besides, this field is multidisciplinary with various topics such as tourism, business, and environment; researchers have paid much attention to the impact, model, and satisfaction of tourism marketing. Future research will focus on sustainability, be aligned with disruptive technologies and information analysis, and explore various alternative marketing approaches in new niche tourism markets. This study is innovative as we analyze literature for 30 years, which is long, precise, and comprehensive to understand this field thoroughly; besides, the comprehensive knowledge framework and future research directions facilitate readers to quickly grasp the overall evolution and inspire them to look for specific topics efficiently and effectively.","Tourism, Marketing, CiteSpace, Scientometrics, Framework"
Customer engagement and social media: Revisiting the past to inform the future,"Customer engagement (CE) is a marketing concept of great importance and the rise of social media has further amplified the importance of this concept. Yet, our understanding of the progress of CE research remains limited due to the absence of a one-stop state-of-the-art overview of the concept that considers its manifestation on social media. To address this gap, we review CE research on social media since the beginning of the present millennium using the PRISMA protocol for systematic reviews. The outcome of our review reveals the antecedents, decisions, and outcomes; the theories, contexts, and methods; and the ways forward for advancing knowledge, improving representation, and enhancing rigor with respect to future research on CE and social media.","Brand engagement, Business engagement, Consumer engagement, Customer engagement, Marketing, Relationship marketing, Social media, Systematic literature review, Systematic review"
Robust integration of blockchain and explainable federated learning for automated credit scoring,"This article examines the integration of blockchain, eXplainable Artificial Intelligence (XAI), especially in the context of federated learning, for credit scoring in financial sectors to improve the credit assessment process. Research shows that integration of these cutting-edge technologies is in its infancy, specifically in the areas of embracing broader data, model verification, behavioural reliability and model explainability for intelligent credit assessment. The conventional credit risk assessment process utilises historical application data. However, reliable and dynamic transactional customer data are necessary for robust credit risk evaluation in practice. Therefore, this research proposes a framework for integrating blockchain and XAI to enable automated credit decisions. The main focus is on effectively integrating multi-party, privacy-preserving decentralised learning models with blockchain technology to provide reliability, transparency, and explainability. The proposed framework can be a foundation for integrating technological solutions while ensuring model verification, behavioural reliability, and model explainability for intelligent credit assessment.","Automated credit scoring, Blockchain, Explainable artificial intelligence, Decentralised federated learning"
"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy","Transformative artificially intelligent tools, such as ChatGPT, designed to generate sophisticated text indistinguishable from that produced by a human, are applicable across a wide range of contexts. The technology presents opportunities as well as, often ethical and legal, challenges, and has the potential for both positive and negative impacts for organisations, society, and individuals. Offering multi-disciplinary insight into some of these, this article brings together 43 contributions from experts in fields such as computer science, marketing, information systems, education, policy, hospitality and tourism, management, publishing, and nursing. The contributors acknowledge ChatGPT’s capabilities to enhance productivity and suggest that it is likely to offer significant gains in the banking, hospitality and tourism, and information technology industries, and enhance business activities, such as management and marketing. Nevertheless, they also consider its limitations, disruptions to practices, threats to privacy and security, and consequences of biases, misuse, and misinformation. However, opinion is split on whether ChatGPT’s use should be restricted or legislated. Drawing on these contributions, the article identifies questions requiring further research across three thematic areas: knowledge, transparency, and ethics; digital transformation of organisations and societies; and teaching, learning, and scholarly research. The avenues for further research include: identifying skills, resources, and capabilities needed to handle generative AI; examining biases of generative AI attributable to training datasets and processes; exploring business and societal contexts best suited for generative AI implementation; determining optimal combinations of human and generative AI for various tasks; identifying ways to assess accuracy of text produced by generative AI; and uncovering the ethical and legal issues in using generative AI across different contexts.","Conversational agent, Generative artificial intelligence, Generative AI, ChatGPT, Large language models"
"Reconceptualizing online offenses: A framework for distinguishing cybercrime, cyberattacks, and cyberterrorism in the Indian legal context","From a legal standpoint, there are significant disparities in treating online offenses targeting individuals, organizations, and nation-states. These disparities arise due to influences that vary discreetly based on crucial factors such as the target, motive, or impact. This article draws upon the Information Technology Amendment Act (ITAA) of 2008 in India, analyses how these factors regulate online crimes, and thereby conducts a comprehensive analysis of current literature to differentiate cybercrime, cyberattacks, and cyberterrorism. The proposed framework includes a target-impact (intent) model to differentiate illicit online activities, complemented by a discussion on the actor-intent model, which emphasizes their treatment and implications within the legal context. The article explores the target-impact (intent) definition of cybercrime, highlighting its significance in capturing the cyber aspect and differentiating it from cyberattacks. Case studies are presented to illustrate these distinctions effectively. Furthermore, the article highlights variations in mitigation strategies, investigative protocols, punitive measures, and legal consequences corresponding to the identified classifications. Lastly, it incorporates insights from theoretical criminology and sociology, discusses how the proposed target-impact (intent) model aligns with the routine activity theory, and attempts to distinguish online crimes using the institutional theory.","Online crime, Cybercrime, Cyberattack, Cyberterrorism, Cybercrime definition, Cybercrime reporting, Cybercrime investigation, Information Technology (IT) Act"
Detecting and developing new business opportunities in society 5.0 contexts: A sociotechnical approach,"Rapid technological evolution has become a great challenge for businesses and societies due to the openness provided by new digital technologies, platforms, and infrastructure and to the impacts of these innovations on how people work and live. The concept of a super-smart society (i.e., Society 5.0) comprises a fresh way to apply these innovations, in which human beings contribute to adapting technologies to daily activities in their society and making Society 5.0 ideas applicable to different areas of each individual’s life. Digital transformation and technological innovation are basic components of this paradigm. This study sought to develop a decision-support model that can help companies structure and prioritize new business opportunities within Society 5.0 contexts. The analysis system relies on a constructivist approach that promotes debates between specialists and combinations of methodologies such as cognitive mapping and interpretive structural modeling. The results highlight the most important areas in which new business opportunities can arise, thereby demonstrating that the proposed model is a valuable tool for incorporating a future orientation into business technological innovation initiatives.","Cognitive mapping, Interpretive structural modeling (ISM), New business opportunity, Society 5.0, Technological innovation"
Modified Histogram Equalization for Improved CNN Medical Image Segmentation,"This research aims to improve the performance of convolutional neural network (CNN) in medical image segmentation that will detect specific parts of the body's anatomical structures. Medical images have drawbacks, such as the image's variability, quality, and complexity. We developed image preprocessing scenarios using Histogram Equalization (HE), Contrast Limited Adaptive Histogram Equalization (CLAHE), and the hybrid approaches (HE-CLAHE and CLAHE-HE). We propose CNN with image enhancement for image segmentation and evaluate its performance on Lung CT-Scan and Chest X-ray datasets, which totaled 267 and 3616 images, respectively, and had ground truth. The experimental results indicate that the optimal cumulative distribution function (CDF) value of HE is 0 to 39, and the clip limit of CLAHE is 0.01. CNN produces the best segmentation with the addition of the CLAHE-HE approach. This method can increase the accuracy by 1.23 percentage points (training) and 3.22 percentage points (testing) for Lung CT-Scan images. Meanwhile, for Chest X-ray images, the training and testing accuracy increased by 1.58 and 0.96 percentage points. In addition, the proposed medical image segmentation approach using the CNN method with CLAHE-HE obtained the values of comparative coefficients DSC (dice similarity coefficient), and SSIM (structural similarity index measurement) of only about 0.92 and 0.97, respectively.","Medical Image Segmentation, CNN, Image Enhancement, CT-Scan, X-Ray, Histogram Analysis"
