title,abstract,keywords
Phenomenological toolkit of the metaverse for medical informatics’ adaptive learning,"Introduction The concept of 'adaptive learning systems' assumes development and implementation of personalized learning platforms that adapt to students’ learning strategies, the sequence and difficulty of the task abilities, the time of feedback and students’ preferences. Metaverse technologies can implement adaptive personalized learning to a greater extent due to the possibilities of wider application of student-oriented technologies and provision of rational support for personal educational progress, taking into account individual characteristics. Material and methods The article describes the phenomenological toolkit of the metaverse based on the Microsoft solution to ensure adaptive learning of medical informatics, taking into account modern technologies. Results Two components of the implementation of adaptive learning with Medical Informatics are suggested: (1) creating responsive, professionally relevant learning content that spans simulated accurate digital models of the real world and augmented reality, (2) creation of a metaverse virtual environment for the organization of immersive adaptive learning based on a combination of personally oriented design and productive interaction. Our choice of the Microsoft solution assumes the possibility of implementing in the educational environment of the metaverse such educational tools as voice virtual assistants with artificial intelligence support (Microsoft Bot solution), Internet of things for education and generating educational data (Azure IoT, Power Platform), mirror worlds of educational destination (Microsoft Twins), augmented, virtual, and mixed reality (Microsoft Mesh, Microsoft HoloLens, Dynamics 365 Guides). Conclusion The proposed solutions of Microsoft make it possible to ensure high functionality in a number of issues when building a student-oriented virtual environment of the metaverse for adaptive and authentic learning. Resumen Introducción El concepto de 'sistemas de aprendizaje adaptativo' supone el desarrollo y la implementación de plataformas de aprendizaje personalizadas que se adapten a las estrategias de aprendizaje de los estudiantes, la secuencia y dificultad de las habilidades de las tareas, el tiempo de retroalimentación y las preferencias de los estudiantes. Las tecnologías de metaverso pueden implementar un aprendizaje personalizado adaptativo en mayor medida debido a las posibilidades de una aplicación más amplia de tecnologías orientadas al estudiante y la provisión de apoyo racional para el progreso educativo personal, teniendo en cuenta las características individuales. Material y métodos El artículo describe el toolkit fenomenológico del metaverso basado en la solución de Microsoft para garantizar el aprendizaje adaptativo de la informática médica, teniendo en cuenta las tecnologías modernas. Resultados Se sugieren dos componentes de la implementación del aprendizaje adaptativo con Informática Médica: (1) crear contenido de aprendizaje receptivo y profesionalmente relevante que abarque modelos digitales precisos simulados del mundo real y la realidad aumentada, (2) creación de un entorno virtual de metaverso para la organización de aprendizaje adaptativo inmersivo basado en una combinación de diseño orientado personalmente e interacción productiva. Nuestra elección de la solución de Microsoft supone la posibilidad de implementar en el entorno educativo del metaverso herramientas educativas tales como asistentes virtuales de voz con soporte de inteligencia artificial (solución Microsoft Bot), Internet de las cosas para la educación y generación de datos educativos (Azure IoT, Power Platform), mundos espejo de destino educativo (Microsoft Twins), realidad aumentada, virtual y mixta (Microsoft Mesh, Microsoft HoloLens, Dynamics 365 Guides). Conclusión Las soluciones propuestas por Microsoft permiten garantizar una alta funcionalidad en una serie de problemas al construir un entorno virtual del metaverso orientado al estudiante para un aprendizaje adaptativo y auténtico.","Metaverse, Virtual, augmented, mixed, and extended reality (VR, AR, MR, XR), Artificial intelligence (AI), Internet of things (IoT), Medical Informatics (MI), Adaptive and authentic learning, Microsoft solutions"
Externalities and complementarities in platforms and ecosystems: From structural solutions to endogenous failures,"Platforms and ecosystems provide structures for constellations of economic actors to engage and interact as they seek to create and capture value. We consider how the constructs of platforms and ecosystems relate and explore why they have become more ubiquitous by focusing on the nature of their value-add. We propose that they emerge as a response to distinct market failures, which we identify, and we explain which specific externalities they help overcome. We also identify post-hoc endogenous functional and distributional failures that platforms and ecosystems, in turn, generate. We discuss implications for theory and practice.","Platforms, Ecosystems, Complementarities, Externalities, Value creation, Coordination, Market failures, Platform governance, Ecosystem governance, Platform failures, Ecosystem failures"
Unveiling the metaverse: The mediating role of social interaction in enhancing tourism experiences,"This study explores the influence of metaverse experiences and social interaction on tourists’ engagement and satisfaction in virtual tourism environments. In the digital era, the metaverse provides an immersive, interactive platform for tourism, allowing users to experience destinations virtually. Drawing from theoretical frameworks on tourism experience, the metaverse experience in this study is categorized into three core dimensions: presence and telepresence, immersion, interactivity and vividness. Additionally, social interaction, which encompasses peer-to-peer engagement and community building within virtual settings, is examined as a mediating factor that may enhance the overall tourism experience. Data was collected from 400 tourists in Thailand and analyzed using structural equation modeling (SEM) to test two primary hypotheses: first, that the metaverse has a direct positive influence on tourism experience, and second, that social interaction mediates this relationship. Results support both hypotheses, demonstrating that the metaverse significantly enhances tourism experience through its immersive and interactive features, with social interaction further amplifying this effect as a partial mediator. These findings suggest valuable implications for tourism practitioners and developers of virtual tourism platforms, emphasizing the need to integrate high-quality, socially engaging digital experiences. The study contributes to understanding how metaverse technology, combined with social engagement, can enrich virtual tourism and align with Thailand’s broader digital tourism initiatives.","Metaverse, Social Interaction, Tourism Experience, Immersive Technology"
Architecture for data-centric and semantic-enhanced industrial metaverse: Bridging physical factories and virtual landscape,"The metaverse paradigm has recently captured increasing scholarly and industrial attention, particularly within the scope of human-centric Industry 5.0. In this context, the metaverse promises a transformative confluence of the physical and digital realms, offering unparalleled avenues for human augmentation in industrial applications. Yet, while several conceptual metaverse architectures and illustrative case studies have emerged, they scarcely delve deep into the nuanced practice of cultivating the industrial metaverse for factory-scale applications. Addressing this research gap, this work introduces a novel architecture for a data-centric and semantic-enhanced industrial metaverse. The architecture intricately weaves the physical factory domain with the metaverse, fortified by a suite of ten modules, facilitating data flow and knowledge synchronization with the integration of digital twins and semantic models. The practical application and relevance of this architecture are further accentuated through a case study focused on in-plant material flow tracking. Emerging results underline that our architecture encapsulates the essential components for constructing a factory-scale industrial metaverse. Future research will be geared towards a comprehensive validation of the proposed metaverse architecture, culminating in tangible implementations across diverse industrial contexts.","Industrial metaverse, Virtual–physical continuum, Digital twins, Extended reality, Architecture, Industry 5.0"
Technical and System Requirements for Industrial Robot-as-a-Service (IRaaS),"Industrial Robot as a Service (IRaaS) is a new business model that enables SMEs to quickly adapt to changing production demands. The IRaaS model introduces industrial robots that can be rented and used on demand, requiring little to no programming knowledge. With this shift from capital expenditures (CAPEX) to operational expenditures (OPEX), the cost of ownership and expertise barriers are eliminated, allowing SMEs to avoid large upfront costs and providing greater flexibility. In this paper, the requirements for developing and realizing these new IRaaS services are identified. The functional requirements are identified by first eliciting the non-functional requirements and proposing robotic concepts that can be servitized. The requirements are also mapped into IRaaS concepts and converged to the underlying challenges.","Industrial-Robots-as-a-Service (IRaaS), Robotic Systems Engineering, Requirements Engineering, Manufacturing Servitization"
"Metaverse for service industries: Future applications, opportunities, challenges and research directions","Although the metaverse is still in the early stages of development and implementation, it has the potential to revolutionize the way how businesses can interact with customers through both the virtual and real world. In particular, service industries are already exploring the opportunity to utilize the metaverse to provide more immersive, interactive and engaging customer experiences. However, the holistic overview of the future applications, opportunities, and challenges of a metaverse in the context of service industries from academic and expert perspectives is limited. By employing a multi-perspective approach, this study looks into these unexplored aspects of the metaverse in the context of service industries through informed and multifaceted narratives by leading academics and experts from cross-disciplinary backgrounds from media and communication, education, hospitality, financial services, retail, tourism and healthcare. The main opportunities identified include the development of new experiences, the introduction of novel inter-world interactions, and new business-consumer relations within the metaverse. The key challenges covered include current technological boundaries, limitations of the experiences in the metaverse, health issues, and data privacy, security, and legal issues. The paper concludes with formulating future research agendas and presenting contributions to literature and implications for practice.","Service industries, Metaverse, Opportunities, Challenges, Research agenda"
Game on! A state-of-the-art overview of doing business with gamification,"Gamification is the act of applying game-design elements to transform activities, products, services, and systems in a way that provides the kind of experiences similar to those offered by games. These elements include badges, points, and leaderboards to motivate and reward problem solving activities and processes. Both businesses and business researchers are increasingly interested in the application of gamification. In this regard, this review aims to offer a state-of-the-art overview of gamification in business, revealing its current trends and future directions. Using business research on gamification published in the last decade (2012–2022) found on Scopus and Web of Science, we conduct a performance analysis to illuminate the field's performance (publication productivity and impact) alongside its key contributors (journals, authors, and countries) as well as a science mapping using a co-citation analysis to locate knowledge foundations, and bibliographic coupling and keyword co-occurrence analysis to reveal major themes in business gamification. Our exploration has unearthed gamification's pervasive influence across business domains, from enhancing learning and fostering innovation to empowering marketing strategies and catalyzing transformation. Gamification has also made significant inroads into management practices, driving engagement, influencing behavioral outcomes, and ushering sustainability. Peering into the future, our density-centrality quadrant analysis casts light on emerging frontiers. Noteworthily, we expect the next wave of gamification to be shaped by the allure of video games and the metaverse, bespoke industry-specific designs, confluence with e-commerce trends, emphasis on sustainable development, expanded social responsibilities, innovations in virtual reality, intersections with human urbanism, and the rise of smart cities. As gamification continues to integrate and reshape myriad facets of the business world, it holds the promise of not only enriching current practices but also charting the course for the future of innovative, sustainable, and transformative business strategies.","Business, Gamification, Bibliometric analysis, Review"
"Bridging realities into organizations through innovation and productivity: Exploring the intersection of artificial intelligence, internet of things, and big data analytics in the metaverse environment using a multi-method approach","This study investigates how organizations may increase innovation and productivity through the Metaverse environment efficacy (MVEE), Artificial intelligence usage (AIU), Internet of Things usage (IoTU), and Big Data Analytics usage (BDAU). The study gathers responses from the gaming, information technology, and entertainment industries, using a multi-method involving Partial Least Squares Structural Equation Modeling, Fuzzy-set Qualitative Comparative Analysis, and Artificial Neural Networks to investigate how these technologies might be used to improve the linking of disparate realities in a business context. The use of AI in personalized and decision-support applications, IoT for real-time data collecting, and BDAU for an insights-driven strategy all combine to create a dynamic MVEE ecosystem. The research also delves into theoretical implications concerning the viability of using the MVEE to boost innovation and productivity. This research identifies the applications of using AI, IoT, and BDA to drive organizational performance in terms of innovation and productivity. Also, the research lays out the role of AI, IoT, and BDA in creating a dynamic metaverse ecosystem.","Metaverse, Task-technology fit theory, Artificial intelligence, Internet of things, Big data analytics, Integration"
Digital forensics for the socio-cyber world (DF-SCW): A novel framework for deepfake multimedia investigation on social media platforms,"Owing to the major development of social media platforms, the usage of technological adaptation increases by means of editing software tools. Posting media in social communication environments has become one of our common daily routines. Before posting, various editing generators are used to manipulate pixel values, such as for enhancing brightness and contrast. Undoubtedly, this software helps bring posting media from ordinary to outstanding. But such a type of editing crosses the line in terms of creating fakes—anything that comes from anywhere and does not retain its originality anyway. It poses a series of issues in the process of multimedia forensics investigation and chain of custody. In order to restrict the attempts at deep faking and make the investigation hierarchy more effective, efficient, and reliable in the socio-cyber space (SCS), this paper presents a novel framework called DF-SCW. A digital forensics-enabled socio-cyber world with artificial intelligence (AI), especially deep neural networks (DNNs), for detecting and analyzing deep fake media investigations on social media platforms. It compares pixels with their neighboring values in the same media (such as images and videos) to identify information about the original one. There is a media flag designed to filter out malicious and dangerous attempts, like a powerful leader declaring war. Putting flags on such fakes helps digital investigators resist sharing the posts. In addition, the other prospect of this research is to make the digital forensics ecosystem more appropriate to take qualitative judgments in real-time while media is uploaded on social media platforms. The simulation of the proposed DF-SCW is tested on three different platforms, such as Instagram, Facebook, and Twitter. Through the experiment, the DF-SCW outperformed in terms of detection, identification, and analysis of deepfake media by an increased rate of 3.77%.","Multimedia forensics, Artificial intelligence, Deepfake investigation, Socio-cyber environment, Social media platforms"
Framing metaverse identity: A multidimensional framework for governing digital selves,"This paper proposes a multidimensional framework for Metaverse Identity, addressing its definition, guiding principles, and critical challenges. Metaverse Identity is conceptualized as a user’s digital self, encompassing personal attributes, data footprints, social roles, and economic elements. To elucidate its core characteristics and implications, this framework introduces two guiding principles: Equivalence and Alignment and Fusion and Expansiveness. The first principle advocates for consistency between metaverse and real-world identities in behavioral norms and social standards, ensuring rights protection and establishing conduct guidelines. The second emphasizes the deep integration and transformative evolution of metaverse identities, enabling them to transcend real-world constraints, meet diverse needs, and foster inclusivity. Together, two principles serve as complementary pillars, balancing ethical integration with dynamic co-evolution. Building on this foundation, the study identifies five critical challenges: interoperability, legal boundaries, privacy and identity management, risks from deepfakes and synthetic identities, and identity fragmentation impacting psychological well-being. To address these challenges, strategic recommendations are offered to guide stakeholders. By constructing this framework, the study fills a key theoretical gap, advances systematic research, and provides a foundation for policies and governance strategies to address the complexities of metaverse identities in a rapidly evolving digital domain.","Metaverse, Digital Identity, Metaverse Identity, Digital Selves, Artificial intelligence, Interoperability, Privacy, Deepfakes, Synthetic identity, Identity fragmentation"
