Title,Abstract,Keywords
The Transformation of the New Media Communication Paradigm in the Metaverse Era and Blockchain Based on the Topological Characteristics of Information Communication,"Keeping pace with the times, this paper analyzes and interprets the concept, characteristics of Metaverse, and its influence on new media communication. Based on this, under the topological characteristics of information communication, this paper discusses the transformation of new media communication paradigm in the metaverse era and models the prediction of new media information dissemination in metaverse. In this paper, the multi-agent modeling method is used to analyze and compare the evolution results of each agent attribute under different parameter values. At the same time, based on the ideal social media network, the improved integrated immune control strategy is applied to the dynamic model of epidemic (SEIR) with latent period, and the spreading and evolution process of rumors before and after immunization is simulated. This research has both theoretical value and practical application value, which can provide a useful reference for the follow-up research of new media communication. © 2024 IGI Global. All rights reserved.",Blockchain; Information Dissemination; Metaverse; New Media
Metaversal intelligence: Unifying human-AI interactions in human-in-the-loop AIB-Metaverse,"The convergence of 6G and Web 3 technologies with the Metaverse necessitates user-centric, intelligent solutions to address challenges of adaptability, scalability, and efficiency in decentralized systems. This paper introduces the Human-AI Blockchain (HAIB) Metaverse architecture and the Intelligent Smart Contract (InSC) framework, which integrate Reinforcement Learning (RL) and extended stigmergy to optimize multi-agent interactions and enable dynamic, self-executing smart contracts. The HAIB architecture enhances human-AI collaboration through a human-in-the-loop approach, facilitating adaptive decision-making and efficient resource allocation. Serving as the cognitive core, the InSC framework combines dynamic environmental feedback with real-time data analytics to enable intelligent decision-making. Experimental evaluations demonstrate that the proposed framework reduces gas consumption by 32–33% while increasing cumulative rewards. These findings highlight the significant potential of intelligent smart contracts in advancing decentralized intelligence within the Metaverse. © 2025 Elsevier B.V.",Blockchain; Extended stigmergy; HAIB-Metaverse architecture; Intelligent smart contract; Reinforcement learning algorithms; Web 3
Multi-Agent DRL for Queue-Aware Task Offloading in Hierarchical MEC-Enabled Air-Ground Networks,"Mobile edge computing (MEC)-enabled air-ground networks advance 6G wireless networks by utilizing aerial base stations (ABSs) such as unmanned aerial vehicles (UAVs) and high altitude platform stations (HAPS) to provide dynamic services to ground IoT devices (IoTDs). These IoTDs support real-time applications like multimedia and Metaverse services, which demand high computational resources and strict quality of service (QoS) guarantees, specifically in terms of latency and efficient task queue management. However, IoTDs often face constraints in energy and computational power, requiring efficient queue management and task scheduling to maintain QoS. To address these challenges, UAVs and HAPS are deployed to supplement the computational limitations of IoTDs by offloading tasks for distributed processing. Due to UAVs' resource limitations, particularly in terms of power and coverage area, HAPS are used to enhance their capabilities and extend coverage. Overloaded UAVs may relay tasks to HAPS, creating a multi-tier computing system. This paper addresses the overall energy minimization problem in the MEC-enabled air-ground integrated network (MAGIN) by optimizing UAV trajectories, computing resource allocation, and queue-aware task offloading decisions. The optimization problem is highly complex due to the nonconvex and nonlinear nature of this hierarchical system, which traditional methods cannot effectively solve. To tackle this, we reformulate the problem as a multi-agent Markov decision process (MDP) with continuous action spaces and heterogeneous agents. We propose a novel variant of multi-agent proximal policy optimization (MAPPO) with Beta distribution (MAPPO-BD) to solve this problem. Extensive simulations show that MAPPO-BD significantly outperforms other baselines, achieving superior energy savings and efficient resource management in MAGIN, while adhering to constraints related to queue delays and edge computing capabilities.  © 2025 IEEE.",air-ground network; edge network; Metaverse; Mobile edge computing; multi-agent deep reinforcement learning
Human-Aware Dynamic Hierarchical Network Control for Distributed Metaverse Services,"Metaverse has emerged as a revolutionary technique for transforming the way people interact with digital content, which relies on a distributed computing and communication infrastructure, encompassing terminal users, edge servers, and cloud servers. However, the rapid evolution of the Metaverse presents challenges that surpass the capabilities of existing communication and network infrastructures, particularly on network bandwidth and latency. Additionally, human experience becomes a critical factor in this domain. Therefore, we introduce a human-aware hierarchical software defined network (SDN) architecture consisting of a Metaverse cloud layer, a mobile edge computing (MEC) server empowered edge layer, and a distributed terminal layer. Each MEC server dynamically controls a multi-antenna base station (BS) and several reconfigurable intelligent surfaces (RISs) according to the terminal immersive experience requirements in real-time. To overcome the bandwidth limitation, we propose a novel smart reconfigurable spatial reuse new radio in unlicensed spectrum (NR-U) framework, which can realize customizable communications through flexibly and coordinately reconfiguring beams among the coordination between BSs and RISs. The objective function is formulated as a Lyapunov optimization based decentralized partially-observable Markov decision process (Dec-POMDP) problem to maximize the spectral efficiency while guaranteeing the latency and reliability requirements in Metaverse, via a joint user selection, phase-shift control, and beam coordination strategy. To solve the above non-convex, strongly coupled, and mixed integer nonlinear programming (MINLP), we propose a novel multi-agent hierarchical deep reinforcement learning (MAHDRL) algorithm that integrates deep Q-network (DQN) to solve discrete problems, deep deterministic policy gradient (DDPG) to solve continuous problems, and mixing network to capture complex interactions between multiple agents. Numerical results demonstrate the effectiveness of the proposed algorithm and verify the performance improvements compared to traditional multi-agent deep reinforcement learning (MADRL) algorithms.  © 1983-2012 IEEE.",distributed coordination; dynamic network control; Human-aware; metaverse; multi-agent; NR-U; RIS
The Matrix: Quantum AI for Interacting Two Worlds in Prioritized Metaverse Spaces,"In modern network applications, the concept of metaverse is an emerging technology, and one of its key characteristics is the separation between the physical-space of the users and the virtual meta-space of the avatars. Based on this, a novel quantum multi-agent reinforcement learning (QMARL)-based scheduler, prioritizing the improvement of the performance of meta-space rendering is proposed in this article. The increase in performance can be achieved by controlling the number of utilized point cloud segments depending on avatar-popularity under the consideration of physical-space constraints. During this process, QMARL-centered quantum artificial intelligence (AI) algorithms are utilized for sequential scheduling action decision-making over time. By utilizing this QMARL, our proposed scheduler is designed to reduce the number of scheduling action dimensions into logarithmic scales. This is beneficial in the noisy intermediate-scale quantum (NISQ) era as the number of usable qubits is inherently limited. After this QMARL-based scheduling, the scheduled regions will be re-constructed over meta-space with prioritized point cloud registration. Finally, our performance evaluation results show that our proposed scheduler outperforms classical multi-agent reinforcement learning (MARL)-based scheduling in terms of utility between 12.6 and 20.7 percent, under various avatar distributions.  © 1979-2012 IEEE.",
Metaverse Community Group Loyalty Contagion and Regulation Model Based on User Stickiness,"The investigation into the micro-social behaviours of groups in metaverse communities is minimal. This paper proposes a user stickiness-based loyalty contagion and regulation model in a meta-verse community inspired by user stickiness in the real world. We hope to establish a link between user stickiness and group loyalty through community regulation, enhance user stickiness, and improve metaverse community loyalty. We verified the feasibility and robust-ness of the model through simulation experiments and obtained the optimal community regulation intensity through sensitivity analy-sis experiments. Our results show that communities can maintain healthy long-term development when optimal community regulation intensity is adopted.  © 2023 IEEE.",Group simulation; Loyalty; Metaverse ecosystem; Multi-Agents; Social behaviour modelling; User stickiness
Metaverse: A Solution to the Multi-Agent Value Alignment Problem,"AI Safety researchers attempting to align values of highly capable intelligent systems with those of humanity face a number of challenges including personal value extraction, multi-agent value merger and finally in-silico encoding. State-of-the-art research in value alignment shows difficulties in every stage in this process, but merger of incompatible preferences is a particularly difficult challenge to overcome. In this paper, we assume that the value extraction problem will be solved and propose a possible way to implement an AI solution which optimally aligns with individual preferences of each user. We conclude by analyzing benefits and limitations of the proposed approach. © 2022 World Scientific Publishing Company.",AI safety; alternate reality; simulation; value alignment problem; VR
"Production Processes and Product Evolution in the Age of Disruption - Proceedings of the 9th Changeable, Agile, Reconfigurable and Virtual Production Conference CARV2023 and the 11th World Mass Customization  and  Personalization Conference MCPC2023","The proceedings contain 91 papers. The special focus in this conference is on Changeable, Agile, Reconfigurable and Virtual Production and the World Mass Customization and Personalization. The topics include: Recommendation of Mass Customized Products with a Multi-agent System: A Case Study; Product Configurator as a Monitoring Tool for Environmental Impact: An AEC Perspective; adoption Potentials of Metaverse Omnichannel Retailing and Its Impact on Mass Customization Approaches; how to Consider Cognitive Abilities of Users in Toolkit Design; a Framework for Solution Space Development in Mass Customization; openness and Open-Endedness: Implications for Mass Customization Capabilities; Customer-Centric UI/UX Design for Sustainable Software Systems; human Centered Innovation Workplaces; can the Mass Customization Co-design Toolkit Help Healthcare Practitioners Reduce Bias and Achieve Better Patient Outcomes?; is Mass Customisation Sustainable? A Literature-Based Analysis; mass Customization and Socio-environmental Responsibility and Sustainability of the Fashion Brand and Its Supply Chain; exploring the Added Value of Additive Manufacturing in Sales Processes of Mass Customization Products; development of an Individual Incentive System to Compensate for Fluctuations in Demand Based on a Cluster Analysis; qualification Management in Reconfigurable Manufacturing System: Review and New Definitions; a New Dynamic Simulation-Based Approach for Multi-part Flow Line Configuration of a Reconfigurable Manufacturing System; mixed-Integer Programming and State-of-the-Art Heuristic Approaches for the Scheduling of Modular Automotive Body-in-White Production; Identification and Analysis of Interactions Between Reconfigurable Supply Chain Enablers in Industry 4.0 Using DEMATEL Method; reconfiguration of Quality Gates Based on Part Variation Modes in Multi-stage Manufacturing Systems; identification of the Main Reconfigurability Characteristics Enablers with a Focus on the Workforce.",
MARL Sim2real Transfer: Merging Physical Reality With Digital Virtuality in Metaverse,"Metaverse is an artificial virtual world mapped from and interacting with the real world. In metaverse, digital entities coexist with their physical counterparts. Powered by deep learning, metaverse is inevitably becoming more intelligent in the interactions between reality and virtuality. However, it is confronted with a nontrivial problem known as sim2real transfer when deep learning techniques try to bridge the reality gap between the physical world and simulations. In this article, we use multiagent deep reinforcement learning (MARL) to implement collective intelligence for digital entities as well as their physical counterparts. To model the immersive environments in metaverse, we define a nonstationary variant of Markov games and propose a recurrent MARL solution to it. Based on the solution, MARL sim2real transfer that bridges real and virtual multiple unmanned aerial vehicle (multi-UAV) systems is successfully conducted by employing recurrent multiagent deep deterministic policy gradient (R-MADDPG) with the domain randomization technique. Additionally, we use perception-control modularization to improve the generalization performance of MARL policies and make training more efficient.  © 2013 IEEE.",Metaverse; multiagent deep reinforcement learning (MARL); multiple unmanned aerial vehicle (multi-UAV) nonstationary Markov game; sim2real transfer
Resource Allocation and QoE Maximization in Aerial MEC-empowered Metaverse Service: A CCM-Multi-agent DRL approach,"The integration of Mobile Edge Computing (MEC) with aerial platforms introduces novel potential for the Metaverse world by providing low-latency and highly reliable computing and communication services at the network edge. Nevertheless, this integration presents critical challenges, such as low Quality of Experience (QoE) due to the dynamic nature of aerial platforms, high resource demands, and the requirements for real-time data processing in the Metaverse environment. To address these challenges, we propose a Combinatorial Client-Master Multiagent Deep Reinforcement Learning (CCM-MADRL) based joint resource allocation and QoE maximization framework to enable intelligent real-time decision-making in aerial MEC enabled Metaverse services. We form a collaborative ecosystem where agents are designed to represent both Metaverse service providers and aerial platforms to promote fairness and efficiency in resource allocation, as well as optimize service delivery. By incorporating CCM, our approach considers diverse metrics, such as latency, reliability, meta-distance, and energy efficiency, to ensure a holistic optimization of Metaverse services. The MADRL approach enables adaptive decision-making, allowing the system to respond to the dynamic and unpredictable nature of Metaverse applications. Results from simulations that mimic realistic Metaverse scenarios demonstrate the effectiveness of the proposed CCM-MADRL framework in terms of improved service performance, reduced latency, cost, and virtual meta-distance, maximized average QoE utility of Metaverse users, and enhanced resource utilization compared to baseline algorithms. © 2024 IEEE.",CCM-MADRL; meta-distance; Metaverse; Quality of experience; Resource allocation
