"Authors","Author full names","Author(s) ID",Title,"Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract",Keywords,"Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang J.","Zhang, Jinping (58863357200)","58863357200","The Transformation of the New Media Communication Paradigm in the Metaverse Era and Blockchain Based on the Topological Characteristics of Information Communication","2024","International Journal of Web Services Research","21","1","","","","","0","10.4018/IJWSR.336840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184081209&doi=10.4018%2fIJWSR.336840&partnerID=40&md5=ae911234328afd74b58c70a6c34b45be","Keeping pace with the times, this paper analyzes and interprets the concept, characteristics of Metaverse, and its influence on new media communication. Based on this, under the topological characteristics of information communication, this paper discusses the transformation of new media communication paradigm in the metaverse era and models the prediction of new media information dissemination in metaverse. In this paper, the multi-agent modeling method is used to analyze and compare the evolution results of each agent attribute under different parameter values. At the same time, based on the ideal social media network, the improved integrated immune control strategy is applied to the dynamic model of epidemic (SEIR) with latent period, and the spreading and evolution process of rumors before and after immunization is simulated. This research has both theoretical value and practical application value, which can provide a useful reference for the follow-up research of new media communication. © 2024 IGI Global. All rights reserved.","Blockchain; Information Dissemination; Metaverse; New Media","IGI Global","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184081209"
"Soltanshahi M.; Maier M.","Soltanshahi, Minoo (57210142778); Maier, Martin (35485001300)","57210142778; 35485001300","Metaversal intelligence: Unifying human-AI interactions in human-in-the-loop AIB-Metaverse","2025","Computer Networks","269","","111425","","","","0","10.1016/j.comnet.2025.111425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007425886&doi=10.1016%2fj.comnet.2025.111425&partnerID=40&md5=d1f5d47e0cecd1e4feecf94f8cab9e9c","The convergence of 6G and Web 3 technologies with the Metaverse necessitates user-centric, intelligent solutions to address challenges of adaptability, scalability, and efficiency in decentralized systems. This paper introduces the Human-AI Blockchain (HAIB) Metaverse architecture and the Intelligent Smart Contract (InSC) framework, which integrate Reinforcement Learning (RL) and extended stigmergy to optimize multi-agent interactions and enable dynamic, self-executing smart contracts. The HAIB architecture enhances human-AI collaboration through a human-in-the-loop approach, facilitating adaptive decision-making and efficient resource allocation. Serving as the cognitive core, the InSC framework combines dynamic environmental feedback with real-time data analytics to enable intelligent decision-making. Experimental evaluations demonstrate that the proposed framework reduces gas consumption by 32–33% while increasing cumulative rewards. These findings highlight the significant potential of intelligent smart contracts in advancing decentralized intelligence within the Metaverse. © 2025 Elsevier B.V.","Blockchain; Extended stigmergy; HAIB-Metaverse architecture; Intelligent smart contract; Reinforcement learning algorithms; Web 3","Elsevier B.V.","English","Article","Final","","Scopus","2-s2.0-105007425886"
"Hevesli M.; Seid A.M.; Erbad A.; Abdallah M.","Hevesli, Muhammet (59204921700); Seid, Abegaz Mohammed (57221744853); Erbad, Aiman (24528481900); Abdallah, Mohamed (36190422500)","59204921700; 57221744853; 24528481900; 36190422500","Multi-Agent DRL for Queue-Aware Task Offloading in Hierarchical MEC-Enabled Air-Ground Networks","2025","IEEE Transactions on Cognitive Communications and Networking","","","","","","","0","10.1109/TCCN.2025.3555440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001386163&doi=10.1109%2fTCCN.2025.3555440&partnerID=40&md5=049317bd5b4d3e1259e8ef2bf843e85f","Mobile edge computing (MEC)-enabled air-ground networks advance 6G wireless networks by utilizing aerial base stations (ABSs) such as unmanned aerial vehicles (UAVs) and high altitude platform stations (HAPS) to provide dynamic services to ground IoT devices (IoTDs). These IoTDs support real-time applications like multimedia and Metaverse services, which demand high computational resources and strict quality of service (QoS) guarantees, specifically in terms of latency and efficient task queue management. However, IoTDs often face constraints in energy and computational power, requiring efficient queue management and task scheduling to maintain QoS. To address these challenges, UAVs and HAPS are deployed to supplement the computational limitations of IoTDs by offloading tasks for distributed processing. Due to UAVs' resource limitations, particularly in terms of power and coverage area, HAPS are used to enhance their capabilities and extend coverage. Overloaded UAVs may relay tasks to HAPS, creating a multi-tier computing system. This paper addresses the overall energy minimization problem in the MEC-enabled air-ground integrated network (MAGIN) by optimizing UAV trajectories, computing resource allocation, and queue-aware task offloading decisions. The optimization problem is highly complex due to the nonconvex and nonlinear nature of this hierarchical system, which traditional methods cannot effectively solve. To tackle this, we reformulate the problem as a multi-agent Markov decision process (MDP) with continuous action spaces and heterogeneous agents. We propose a novel variant of multi-agent proximal policy optimization (MAPPO) with Beta distribution (MAPPO-BD) to solve this problem. Extensive simulations show that MAPPO-BD significantly outperforms other baselines, achieving superior energy savings and efficient resource management in MAGIN, while adhering to constraints related to queue delays and edge computing capabilities.  © 2025 IEEE.","air-ground network; edge network; Metaverse; Mobile edge computing; multi-agent deep reinforcement learning","Institute of Electrical and Electronics Engineers Inc.","English","Article","Article in press","","Scopus","2-s2.0-105001386163"
"Chen Q.; Li R.; Xu X.; Wu J.; Jiang H.; Qiu M.","Chen, Qimei (56603405900); Li, Ruixue (57442464400); Xu, Xiaoxia (57205423321); Wu, Jing (56477808700); Jiang, Hao (57095221600); Qiu, Meikang (57216130886)","56603405900; 57442464400; 57205423321; 56477808700; 57095221600; 57216130886","Human-Aware Dynamic Hierarchical Network Control for Distributed Metaverse Services","2024","IEEE Journal on Selected Areas in Communications","42","3","","629","642","13","4","10.1109/JSAC.2023.3345399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184814384&doi=10.1109%2fJSAC.2023.3345399&partnerID=40&md5=6d49e7b61efdc2360130e88a04a3b104","Metaverse has emerged as a revolutionary technique for transforming the way people interact with digital content, which relies on a distributed computing and communication infrastructure, encompassing terminal users, edge servers, and cloud servers. However, the rapid evolution of the Metaverse presents challenges that surpass the capabilities of existing communication and network infrastructures, particularly on network bandwidth and latency. Additionally, human experience becomes a critical factor in this domain. Therefore, we introduce a human-aware hierarchical software defined network (SDN) architecture consisting of a Metaverse cloud layer, a mobile edge computing (MEC) server empowered edge layer, and a distributed terminal layer. Each MEC server dynamically controls a multi-antenna base station (BS) and several reconfigurable intelligent surfaces (RISs) according to the terminal immersive experience requirements in real-time. To overcome the bandwidth limitation, we propose a novel smart reconfigurable spatial reuse new radio in unlicensed spectrum (NR-U) framework, which can realize customizable communications through flexibly and coordinately reconfiguring beams among the coordination between BSs and RISs. The objective function is formulated as a Lyapunov optimization based decentralized partially-observable Markov decision process (Dec-POMDP) problem to maximize the spectral efficiency while guaranteeing the latency and reliability requirements in Metaverse, via a joint user selection, phase-shift control, and beam coordination strategy. To solve the above non-convex, strongly coupled, and mixed integer nonlinear programming (MINLP), we propose a novel multi-agent hierarchical deep reinforcement learning (MAHDRL) algorithm that integrates deep Q-network (DQN) to solve discrete problems, deep deterministic policy gradient (DDPG) to solve continuous problems, and mixing network to capture complex interactions between multiple agents. Numerical results demonstrate the effectiveness of the proposed algorithm and verify the performance improvements compared to traditional multi-agent deep reinforcement learning (MADRL) algorithms.  © 1983-2012 IEEE.","distributed coordination; dynamic network control; Human-aware; metaverse; multi-agent; NR-U; RIS","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85184814384"
"Park S.; Baek H.; Kim J.","Park, Soohyun (57210251609); Baek, Hankyul (57374948000); Kim, Joongheon (8866990900)","57210251609; 57374948000; 8866990900","The Matrix: Quantum AI for Interacting Two Worlds in Prioritized Metaverse Spaces","2024","IEEE Communications Magazine","62","12","","97","103","6","0","10.1109/MCOM.001.2300457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207155533&doi=10.1109%2fMCOM.001.2300457&partnerID=40&md5=8733c70d20173d9ab72c162bab7f5953","In modern network applications, the concept of metaverse is an emerging technology, and one of its key characteristics is the separation between the physical-space of the users and the virtual meta-space of the avatars. Based on this, a novel quantum multi-agent reinforcement learning (QMARL)-based scheduler, prioritizing the improvement of the performance of meta-space rendering is proposed in this article. The increase in performance can be achieved by controlling the number of utilized point cloud segments depending on avatar-popularity under the consideration of physical-space constraints. During this process, QMARL-centered quantum artificial intelligence (AI) algorithms are utilized for sequential scheduling action decision-making over time. By utilizing this QMARL, our proposed scheduler is designed to reduce the number of scheduling action dimensions into logarithmic scales. This is beneficial in the noisy intermediate-scale quantum (NISQ) era as the number of usable qubits is inherently limited. After this QMARL-based scheduling, the scheduled regions will be re-constructed over meta-space with prioritized point cloud registration. Finally, our performance evaluation results show that our proposed scheduler outperforms classical multi-agent reinforcement learning (MARL)-based scheduling in terms of utility between 12.6 and 20.7 percent, under various avatar distributions.  © 1979-2012 IEEE.","","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85207155533"
"Xue J.; Zhang M.","Xue, Junxiao (59279095300); Zhang, Mingchuang (57361957500)","59279095300; 57361957500","Metaverse Community Group Loyalty Contagion and Regulation Model Based on User Stickiness","2023","Proceedings - 2023 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops, VRW 2023","","","","877","878","1","0","10.1109/VRW58643.2023.00281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159721409&doi=10.1109%2fVRW58643.2023.00281&partnerID=40&md5=31f66c3d79d441b98f8e25e1401400a1","The investigation into the micro-social behaviours of groups in metaverse communities is minimal. This paper proposes a user stickiness-based loyalty contagion and regulation model in a meta-verse community inspired by user stickiness in the real world. We hope to establish a link between user stickiness and group loyalty through community regulation, enhance user stickiness, and improve metaverse community loyalty. We verified the feasibility and robust-ness of the model through simulation experiments and obtained the optimal community regulation intensity through sensitivity analy-sis experiments. Our results show that communities can maintain healthy long-term development when optimal community regulation intensity is adopted.  © 2023 IEEE.","Group simulation; Loyalty; Metaverse ecosystem; Multi-Agents; Social behaviour modelling; User stickiness","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85159721409"
"Yampolskiy R.V.","Yampolskiy, Roman V. (14122622800)","14122622800","Metaverse: A Solution to the Multi-Agent Value Alignment Problem","2022","Journal of Artificial Intelligence and Consciousness","9","3","","297","307","10","3","10.1142/S2705078522500072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181573785&doi=10.1142%2fS2705078522500072&partnerID=40&md5=b02ff1241221a4df30a947cc1802bc42","AI Safety researchers attempting to align values of highly capable intelligent systems with those of humanity face a number of challenges including personal value extraction, multi-agent value merger and finally in-silico encoding. State-of-the-art research in value alignment shows difficulties in every stage in this process, but merger of incompatible preferences is a particularly difficult challenge to overcome. In this paper, we assume that the value extraction problem will be solved and propose a possible way to implement an AI solution which optimally aligns with individual preferences of each user. We conclude by analyzing benefits and limitations of the proposed approach. © 2022 World Scientific Publishing Company.","AI safety; alternate reality; simulation; value alignment problem; VR","World Scientific","English","Article","Final","","Scopus","2-s2.0-85181573785"
"","","","Production Processes and Product Evolution in the Age of Disruption - Proceedings of the 9th Changeable, Agile, Reconfigurable and Virtual Production Conference CARV2023 and the 11th World Mass Customization  and  Personalization Conference MCPC2023","2023","Lecture Notes in Mechanical Engineering","","","","","","841","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172376374&partnerID=40&md5=aa6badae0f982d3c5f050c76f209c9e1","The proceedings contain 91 papers. The special focus in this conference is on Changeable, Agile, Reconfigurable and Virtual Production and the World Mass Customization and Personalization. The topics include: Recommendation of Mass Customized Products with a Multi-agent System: A Case Study; Product Configurator as a Monitoring Tool for Environmental Impact: An AEC Perspective; adoption Potentials of Metaverse Omnichannel Retailing and Its Impact on Mass Customization Approaches; how to Consider Cognitive Abilities of Users in Toolkit Design; a Framework for Solution Space Development in Mass Customization; openness and Open-Endedness: Implications for Mass Customization Capabilities; Customer-Centric UI/UX Design for Sustainable Software Systems; human Centered Innovation Workplaces; can the Mass Customization Co-design Toolkit Help Healthcare Practitioners Reduce Bias and Achieve Better Patient Outcomes?; is Mass Customisation Sustainable? A Literature-Based Analysis; mass Customization and Socio-environmental Responsibility and Sustainability of the Fashion Brand and Its Supply Chain; exploring the Added Value of Additive Manufacturing in Sales Processes of Mass Customization Products; development of an Individual Incentive System to Compensate for Fluctuations in Demand Based on a Cluster Analysis; qualification Management in Reconfigurable Manufacturing System: Review and New Definitions; a New Dynamic Simulation-Based Approach for Multi-part Flow Line Configuration of a Reconfigurable Manufacturing System; mixed-Integer Programming and State-of-the-Art Heuristic Approaches for the Scheduling of Modular Automotive Body-in-White Production; Identification and Analysis of Interactions Between Reconfigurable Supply Chain Enablers in Industry 4.0 Using DEMATEL Method; reconfiguration of Quality Gates Based on Part Variation Modes in Multi-stage Manufacturing Systems; identification of the Main Reconfigurability Characteristics Enablers with a Focus on the Workforce.","","Springer Science and Business Media Deutschland GmbH","English","Conference review","Final","","Scopus","2-s2.0-85172376374"
"Shi H.; Liu G.; Zhang K.; Zhou Z.; Wang J.","Shi, Haoran (56849730000); Liu, Guanjun (56270547400); Zhang, Kaiwen (57222348002); Zhou, Ziyuan (57710334900); Wang, Jiacun (55890357200)","56849730000; 56270547400; 57222348002; 57710334900; 55890357200","MARL Sim2real Transfer: Merging Physical Reality With Digital Virtuality in Metaverse","2023","IEEE Transactions on Systems, Man, and Cybernetics: Systems","53","4","","2107","2117","10","45","10.1109/TSMC.2022.3229213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146223475&doi=10.1109%2fTSMC.2022.3229213&partnerID=40&md5=8bd1b6cdbaaa83ee28fb10a0eaf9675e","Metaverse is an artificial virtual world mapped from and interacting with the real world. In metaverse, digital entities coexist with their physical counterparts. Powered by deep learning, metaverse is inevitably becoming more intelligent in the interactions between reality and virtuality. However, it is confronted with a nontrivial problem known as sim2real transfer when deep learning techniques try to bridge the reality gap between the physical world and simulations. In this article, we use multiagent deep reinforcement learning (MARL) to implement collective intelligence for digital entities as well as their physical counterparts. To model the immersive environments in metaverse, we define a nonstationary variant of Markov games and propose a recurrent MARL solution to it. Based on the solution, MARL sim2real transfer that bridges real and virtual multiple unmanned aerial vehicle (multi-UAV) systems is successfully conducted by employing recurrent multiagent deep deterministic policy gradient (R-MADDPG) with the domain randomization technique. Additionally, we use perception-control modularization to improve the generalization performance of MARL policies and make training more efficient.  © 2013 IEEE.","Metaverse; multiagent deep reinforcement learning (MARL); multiple unmanned aerial vehicle (multi-UAV) nonstationary Markov game; sim2real transfer","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146223475"
"Seid A.M.; Abishu H.N.; Boateng G.O.; Erbad A.; Hamdi M.; Guizani M.","Seid, Abegaz Mohammed (57221744853); Abishu, Hayla Nahom (57440252300); Boateng, Gordon Owusu (57205339524); Erbad, Aiman (24528481900); Hamdi, Mounir (7103051480); Guizani, Mohsen (7004750176)","57221744853; 57440252300; 57205339524; 24528481900; 7103051480; 7004750176","Resource Allocation and QoE Maximization in Aerial MEC-empowered Metaverse Service: A CCM-Multi-agent DRL approach","2024","Proceedings - IEEE Global Communications Conference, GLOBECOM","","","","608","613","5","0","10.1109/GLOBECOM52923.2024.10901198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000832602&doi=10.1109%2fGLOBECOM52923.2024.10901198&partnerID=40&md5=2d97e535a81a1f52b8b248f005e11aea","The integration of Mobile Edge Computing (MEC) with aerial platforms introduces novel potential for the Metaverse world by providing low-latency and highly reliable computing and communication services at the network edge. Nevertheless, this integration presents critical challenges, such as low Quality of Experience (QoE) due to the dynamic nature of aerial platforms, high resource demands, and the requirements for real-time data processing in the Metaverse environment. To address these challenges, we propose a Combinatorial Client-Master Multiagent Deep Reinforcement Learning (CCM-MADRL) based joint resource allocation and QoE maximization framework to enable intelligent real-time decision-making in aerial MEC enabled Metaverse services. We form a collaborative ecosystem where agents are designed to represent both Metaverse service providers and aerial platforms to promote fairness and efficiency in resource allocation, as well as optimize service delivery. By incorporating CCM, our approach considers diverse metrics, such as latency, reliability, meta-distance, and energy efficiency, to ensure a holistic optimization of Metaverse services. The MADRL approach enables adaptive decision-making, allowing the system to respond to the dynamic and unpredictable nature of Metaverse applications. Results from simulations that mimic realistic Metaverse scenarios demonstrate the effectiveness of the proposed CCM-MADRL framework in terms of improved service performance, reduced latency, cost, and virtual meta-distance, maximized average QoE utility of Metaverse users, and enhanced resource utilization compared to baseline algorithms. © 2024 IEEE.","CCM-MADRL; meta-distance; Metaverse; Quality of experience; Resource allocation","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-105000832602"
