"Title","Abstract","Keywords"
"Scaling the Metaverse: An AI Perspective","When one hears the word Metaverse, it is automatically associated with millions of users, immersive experiences and its potential to change our lives. But, what enables the Metaverse to function at such a scale? This talk will present the different challenges associated with handling 55 million daily users within the Roblox Metaverse. From addressing user Quality of Experience, to distributed architecture, programming model and scheduling, we will cover the entire stack underneath. In particular, I will put special attention into the AI-Metaverse relationship. On one hand, a large proportion of workloads are based on one or multiple ML/DL models and I will present the challenges of scaling them. On the other hand, I will explore infrastructure and service model challenges that can be addressed with AI, e.g. multi-resource and multi-datacenter scheduling with Reinforcement learning.","data center, metaverse, reinforcement learning, resource optimization"
"User Recommendation in Social Metaverse with VR","Social metaverse with VR has been viewed as a paradigm shift for social media. However, most traditional VR social platforms ignore emerging characteristics in a metaverse, thereby failing to boost user satisfaction. In this paper, we explore a scenario of socializing in metaverse with VR, which brings major advantages over conventional social media: 1) leverage flexible display of users' 360-degree viewports to satisfy individual user interests, 2) ensure the user feelings of co-existence, 3) prevent view obstruction to help users find friends in crowds, and 4) support socializing with digital twins. Therefore, we formulate the Co-presence, and Occlusion-aware Metaverse User Recommendation (COMUR) problem to recommend a set of rendered players for users in social metaverse with VR. We prove COMUR is an NP-hard optimization problem and design a dual-module deep graph learning framework (COMURNet) to recommend appropriate users for viewport display. Experimental results on real social metaverse datasets and a user study with Occulus Quest 2 manifest that the proposed model outperforms baseline approaches by at least 36.7\% of solution quality.","virtual reality, social metaverse, friend recommendation"
"Foundations for Grassroots Democratic Metaverse","While the physical lives of many of us are in democracies (one person, one vote - e.g., the EU and the US), our digital lives are mostly in autocracies (one person, all votes - e.g., Facebook). Cryptocurrencies promise liberation but stop short, at plutocracy (one coin, one vote). What would it take for us to live in a digital democracy? This paper offers a vision, a theoretical framework, and an architecture for a grassroots network of autonomous, people-owned, people-operated, and people-governed digital communities, namely a grassroots democratic metaverse. It also charts a roadmap towards realizing it, and identifies unexplored territory for MAS research.","sybil resilience, social choice, personal and community cryptocurrency, on-chain governance, grassroots protocol stack, grassroots cryptoeconomy, digital social contracts, digital democracy, democratic DAO, blockchain"
"Finding Effective Ad Allocations: How to Exploit User History","A primary source of revenue for web platforms is digital advertising. Platforms typically maximize the effectiveness of advertising campaigns by exploiting user features (i.e., targeted advertising). However, performance can be further improved by leveraging user navigation history. In particular, the advent of new augmented reality platforms encourages users to spend a considerable amount of time in the same virtual environment, opening up the challenge of determining which ads to display and at which time of their experience. In this paper, we initiate the study of history-dependent advertising by providing a user model and optimized ad allocation algorithms. Our model assumes that users move through a series of scenes where they are exposed to ads. The performance of an ad may be influenced by various factors, such as the features of the scene in which it is displayed, the externalities of previously observed ads and the possibility that a user has already purchased the promoted product. We analyze the computational complexity of finding an optimal ad allocation for several model flavors and provide practical approximation algorithms with tight theoretical guarantees. We also discuss under which conditions our approximation algorithms are monotone according to Myerson's definition, thus leading to truthful auction mechanisms.","ad allocation, algorithmic advertising, mechanism design"
"Distributed Mechanism Design in Social Networks","Designing auctions to incentivize buyers to invite new buyers via their social connections is a new trend in mechanism design[18]. The challenge is that buyers are competitors and we need to design proper incentives for them to invite each other. For selling a single item, many interesting mechanisms have been proposed. However, all the mechanisms require the seller or a third party to be trustworthy to execute the mechanisms. In addition, the owner of the mechanism will know all the connections of the network after the execution, which poses a potential privacy issue. Hence, distributed mechanisms to avoid the privacy issue are more appealing in practice. Therefore, in this paper, we propose the first distributed mechanism in social networks without revealing buyers' private connections to anyone, and it achieves complete decentralization that does not rely on any trustworthy third party. Moreover, the centralized reduction of our mechanism also offers a novel way to compute players' contributions compared to the existing solutions.","distributed mechanism design, invitation incentive, social network"
"Agent-Assisted Life-Long Education and Learning","In this paper, we propose a novel approach to education and learning, in which digital agents take care of the life-long education and career development of their human partners. Agent consults requirements and preferences and proactively searches for opportunities by monitoring job markets, reflecting on educational options and challenges. Then, it adjusts the current academic program and coordinates the pathway facilitating the optimal desired outcome. We envision a Distributed Educational Agent Network (DEAN) of connected, trustworthy educational agents that securely communicate with each other to collectively carry out the above-mentioned tasks. We discuss the benefits and current and future challenges associated with the implementation of the proposed agent-assisted educational approach. Research and development of DEAN provide a unique opportunity for the agent community to design, implement and evaluate agent technologies in complex, large scale scenarios. In this paper, we also specify a proposal for a design of a DEAN agent, using skill development to monitor and drive education and career.","precision education, human-agent interaction, distributed agent marketplaces, agent-supported learning"
"Modeling spatial-temporal context information in virtual worlds","Currently, we use many definitions with diffuse boundaries: Web 2.0 (Social Networks), Web 3.0 (Semantic Web), Web 3D (Metaverses, Virtual Worlds, Mirror Worlds), Recommendation Systems, Augmented Reality, Geo-location... In this paper we explore the possibilities of the combined use of these concepts, we introduce the concept of VARD (Virtual Augmented Reality Device) and show interoperability between recommendation systems and Virtual Worlds. We have developed a Recommendation System which have two ways of interaction with the virtual world of Second Life in connection with context spatial-temporal information: an active recommendation system, called TESLAR, that interacts with avatars by a 2D HUD VARD object, and a passive and automatic recommendation system, called MarvinBot, that interacts with avatars by a Metabot VARD.","virtual worlds, second life, recommendation systems, multiagent systems, mirror worlds, metaverses, metabots, intelligent agents, context information, augmented reality"
"ColSLAM: A Versatile Collaborative SLAM System for Mobile Phones Using Point-Line Features and Map Caching","Over the past years, augmented reality (AR) based on mobile phones has gained great attention. When multiple phones are used in AR applications, collaborative simultaneous localization and mapping (SLAM) is considered one of the enabling technologies, i.e., multiple mobile phones complete the localization and mapping through collaboration. However, the state-of-the-art collaborative SLAM systems not only suffer from the delays introduced by a high-complexity graph optimization problem, but also may exhibit varying levels of accuracy across dissimilar environments or different types of mobile devices. In this paper, we propose a scalable and robust collaborative SLAM system, point-line-based Collaborative SLAM (ColSLAM). Technically, ColSLAM includes two innovative features that help achieve satisfactory scalability and robustness. First, a mapping cacher (MC) is designed for each agent on the server, which uses global keyframes to detect loop closures, updates the cached local map, and quickly responds to the agent's pose drifts. With MC, each agent's local pose is corrected using global knowledge in real-time. Secondly, to improve the robustness performance, ColSLAM employs point-line-fusion-based Visual Inertial Odometry (VIO), point-line-fusion-based NetVLAD loop detection, and an enhanced geometric verification and relative pose calculation method called PNPL. Empirical evaluations based on the EuRoc dataset and real degenerate environments demonstrate that ColSLAM outperforms the existing collaborative SLAM systems in terms of accuracy, robustness, and scalability.","augmented reality, collaborative slam, map caching, mobile phones, multi-agent, point-line features"
"An Approach for Integrating 3D Virtual Worlds with Multiagent Systems","Education is incorporating more and more of the capabilities provided by the Internet. One such move is the incorporation of 3D virtual worlds in the learning environment. Another is the increasing development of multiagent systems that support the learner or the tutor. Integrating pedagogically based multiagent systems with 3D virtual worlds could provide a more engaging immersive learning environment. This paper explores the feasibility of integrating a 3D virtual world with a pedagogical multiagent system named QuizMASter, an educational game for elearning that helps students learn their course material through friendly competition. The integration was developed by devising, implementing and testing an approach using open source technologies, namely, Open Wonderland and JADE. The result is encouraging as the integration is technically feasible, not overly difficult and opens a door to further integration opportunities.","Education;Multi User Virtual Environment;3D Virtual Worlds;Multiagent Systems"
"Transforming Learning through Agent Augmented Virtual World","Recent years have seen new forms of immersive learning such as interactive storytelling in virtual learning environment. Intelligent software agents are able to provide a more attractive narrative and get the users more involved in the unfolding of the story line in the virtual world. However, designing and implementing a software agent or a multi-agent system (MAS) for this purpose requires the developer to be highly skilled in agent oriented software engineering (AOSE) and a large investment in time and effort. This raises the hurdle to develop non-trivial agent augmented interactive e-learning applications. Our research proposes a framework - the multi-agent development environment (MADE) - to resolve this problem by abstracting the agent implementation part into a reusable runtime environment so as to enable less technically inclined people (e.g. teachers) and developers with limited knowledge in AOSE to rapidly prototype a multi-agent system to be incorporated into interactive learning applications.","Multi-agent Systems;Agent-augmented Virtual Environment;Agent-mediated Immersive Learning"
"Intelligent Objects to Facilitate Human Participation in Virtual Institutions","Our research combines electronic institutions and 3D virtual worlds for the construction of virtual institutions which are virtual worlds with normative regulation of interactions. That is, a virtual world where participants actions have to comply with predefined institutional rules. In this context, the actions a participant may perform depend on the institutional rules and the current execution state. We propose to include iObjects, intelligent objects, as entities having both visualization properties and decision mechanisms in the virtual institution. They are a new key element to improve users participation in virtual institutions. We situate them in a middleware infrastructure in order to be independent of 3D virtual world platform and to provide a general solution in which participants could be connected from different immersive environment platforms.","virtual environments;normative multiagent systems;virtual institutions;intelligent objects"
"Real World Embedded Multiagent Systems: Simulation of Hardware/Software Mixed Agent Societes in Realistic Physical Models","This paper present a multiagent framework which enables the design and the test of real world embedded multiagent systems based on decentralized intelligence. The associated demonstration insists on the interactions between real world and virtual agents, the simulation of realistic physical environment.","simulation;real world multiagent systems;embedded agents;environment model"
"NEXUS: Fusing the Real & the Virtual","The aim of this project has been to create NEXUS, a framework that supports fusion of the physical and the virtual, creating a single world in which people can interact with deliberative agents in their own space. This work promotes a more orthogonal perspective for the development of artificial systems and their functionality as tools. This NEXUS becomes a place in which virtual and physical information spaces become entwined, resulting in the entities that inhabit this space being able to interact in a seamless fashion. The level of interaction envisaged is not simply a matter of people controlling the form of a virtual space, or even one of artificial entities that control the form of a physical space. Instead, we view the NEXUS as a fusion of physical and virtual spaces in which a number of entities jointly interact. This then facilitates the coherent integration of humans and the digital information space","Augmented reality;control architectures;multi-agent systems"
"Multirobot cooperation on virtual environment using Volunteer Based Cooperation Protocol","We develop an experimental platform for heterogeneous multirobot cooperation which has both advantages of two evaluations means for multirobot cooperation, experiment with real robots and simulation. In this system, the real robots interact with the virtual environment and efficient evaluation of the multirobot cooperation in various kinds of work fields is possible. Volunteer Based Cooperation Protocol is proposed to reduce communication cost required in the multirobot cooperation.","multi-agent systems;multirobot cooperation;virtual environment system"
"A virtual laboratory for multiagent systems: Joining efficacy, learning analytics and student satisfaction","This study introduces a distributed virtual laboratory for a multiagent programming course which has been very satisfactorily adopted by students, with a success rate of nearly 80%. It also aims at capturing the daily activity of students, providing the basis for data-driven assessment. Finally, it also allows for using process mining technologies to unveil successful and failed behaviors of students enabling the teacher for an early detection and intervention to improve their learning experience.","Learning analytics;data-driven assessment;multiagent systems"
"A Multiagent Tool to Simulate Hybrid Real/Virtual Embedded Agent Societies","Decomposing a real world problem into a multiagent solution and implementing the corresponding embedded multiagent system are difficult tasks. Agent models must be degraded in respect with resource constraints (memory, CPU) and energomic constraints. These constraints introduce deviations at two levels: the embedded agent and the whole system. This paper introduces hardware/software hybrid simulation of multiagent systems where real physical and virtual simulated agents cohabit. It presents the MultiAgent Hardware Software Simulator (MASH) and a discussion about our experience in using this tool.","embedded multiagent system;simulation"
"In The Truman Show: Generating Dynamic Scenarios in a Driving Simulator","All the devices, animals, and people make their decisions based on what you're doing, but you don't know it or even notice it. Your world is that of Truman Burbank, from the 1998 movie The Truman Show. With this idea in mind, we've taken the movie metaphor to implement a prototype simulation system where the user steps into Truman's shoes. The set of our ""movie"" is a driving simulator, and the user is learning to drive a car. During the driving lessons, users drive in a virtual world that lets them experience all kinds of traffic scenarios. The system generates the scenarios with the student as the focal point, and the other traffic entities respond to the student's behavior, without the student noticing. To control the traffic scenarios and make them more effective, our prototype employs an agent-based framework. In this framework, each entity in the simulator is an actor agent playing a role. The prototype also includes a hierarchy of directors that directs the main action and the behind-the-scenes activity. The advantage of the movie metaphor is that it helps separate scenario description from scenario playing. The agents can read their required information from a script and perform their actions based on that information. Using this framework lets us build software that's extensible, maintainable, and easy to understand","multiagent systems;artificial intelligence;driving simulation"
"Analysis of the Virtual Enterprise Partner Selection Based on Multi-agent System","Todaypsilas world, virtual enterprise is regarded as the most competitive management model of enterprises that face the resource of the globe. How to select the best partner enterprise is a key section of the whole process of virtual enterprise creation. This paper proposed an instructor of remote manufacturing system supporting dynamic alliance for virtual enterprises with the multi-agent technology to solve the problem of partner enterprise selections.","Virtual Enterprise (VE);Partner Selection;Multi-Agent System;Analytic Hierarchy Process (AHP)"
"Research on multi-agent system based trust model of partner selection of virtual enterprise","Virtual enterprise is the outcome of fierce competition in the world market. The selection of partners is one of the key factors for the success of virtual enterprises. Multi-agent system is an incompact agent federation composed of many agents, with its characteristics identical to virtual enterprises. It is, therefore, reasonable and effective to apply to the selection of enterprises' partner. The issue of trust is a hot topic in multi-agent system. The present trust model cannot well solve the problem of identifying the initial trust value of applicant agents. Moreover, there is room for improvement as to the calculation of agent trust value. This study puts forward a new trust management model based on multi-agent system. In the model, a fuzzy algorithm is used to calculate the initial value of the agent instead of a static definition. In addition, an independent validation module is used to test information reliability. Therefore, the problems of identifying initial trust value can be solved. Through system simulation, it is noted that based on the trust management model the cooperation rate has been enhanced and individual agent's income has risen by a big margin.","Multi-Agent System;Virtual Enterprise;Partner Selection;Trust Model"
"Model and Optimization of Collaborative Logistics System In Agent-based Agile Virtual Enterprises","On the basis of analyzing the framework of collaborative logistics system in agile virtual enterprise (AVE), according to the craft work chain of product in agile virtual enterprise (AVE), the three-dimension evolution model is developed. Combining dynamic programming with MATLAB on machining tasks and logistics resources on the craft work chain of product are discussed. The purpose is to make reasonable use of world resources and to quickly collocate all kinds of resources, and to response to the need of customers in the way of efficient collaboration by means of virtual network according to the product task, and to improve the agility.","Agile virtual enterprise;multi-agent system;collaborative logistics;modeling"
"Simulating a Multi-Agent UAV System Coordinated by State Machines Using Godot","Unmanned aerial vehicles have advanced quickly and are now a dominant force in several domains, including military, security, and even logistics. 3D simulations with virtual environments are cost effective tools for assessing feasibility and costs of developing new systems or upgrading current systems. This is especially true for multiagent or swarm systems that require many agents working in concert. The total costs can be much higher when only physical prototypes are used for testing and analysis. There are existing 3D libraries for aiding with UAV simulations, but they’re too specialized; it is difficult to create highly customized virtual environments with these packages. A simulation development framework needs to be capable and stable for accurate simulations yet generalized enough that any types of simulations can be developed without exhausting efforts. This paper explores the feasibility and ease of using Godot, an open-source game engine, to develop a simulation that can assess the function of a multiagent UAV system. It is found that the Godot engine is a powerful tool that is both accurate and generalized enough to develop highly customizable UAV simulation. This allows verification and testing of UAV designs and control algorithms in highly customizable and flexible virtual environments, using a free open-sourced tool.","component; 3D Virtual Environments;Multiagent Systems;Unmanned Aerial Vehicles"
