Title,Abstract,Keywords
Scaling the Metaverse: An AI Perspective,"When one hears the word Metaverse, it is automatically associated with millions of users, immersive experiences and its potential to change our lives. But, what enables the Metaverse to function at such a scale? This talk will present the different challenges associated with handling 55 million daily users within the Roblox Metaverse. From addressing user Quality of Experience, to distributed architecture, programming model and scheduling, we will cover the entire stack underneath. In particular, I will put special attention into the AI-Metaverse relationship. On one hand, a large proportion of workloads are based on one or multiple ML/DL models and I will present the challenges of scaling them. On the other hand, I will explore infrastructure and service model challenges that can be addressed with AI, e.g. multi-resource and multi-datacenter scheduling with Reinforcement learning.","data center, metaverse, reinforcement learning, resource optimization"
User Recommendation in Social Metaverse with VR,"Social metaverse with VR has been viewed as a paradigm shift for social media. However, most traditional VR social platforms ignore emerging characteristics in a metaverse, thereby failing to boost user satisfaction. In this paper, we explore a scenario of socializing in metaverse with VR, which brings major advantages over conventional social media: 1) leverage flexible display of users' 360-degree viewports to satisfy individual user interests, 2) ensure the user feelings of co-existence, 3) prevent view obstruction to help users find friends in crowds, and 4) support socializing with digital twins. Therefore, we formulate the Co-presence, and Occlusion-aware Metaverse User Recommendation (COMUR) problem to recommend a set of rendered players for users in social metaverse with VR. We prove COMUR is an NP-hard optimization problem and design a dual-module deep graph learning framework (COMURNet) to recommend appropriate users for viewport display. Experimental results on real social metaverse datasets and a user study with Occulus Quest 2 manifest that the proposed model outperforms baseline approaches by at least 36.7\% of solution quality.","virtual reality, social metaverse, friend recommendation"
Foundations for Grassroots Democratic Metaverse,"While the physical lives of many of us are in democracies (one person, one vote - e.g., the EU and the US), our digital lives are mostly in autocracies (one person, all votes - e.g., Facebook). Cryptocurrencies promise liberation but stop short, at plutocracy (one coin, one vote). What would it take for us to live in a digital democracy? This paper offers a vision, a theoretical framework, and an architecture for a grassroots network of autonomous, people-owned, people-operated, and people-governed digital communities, namely a grassroots democratic metaverse. It also charts a roadmap towards realizing it, and identifies unexplored territory for MAS research.","sybil resilience, social choice, personal and community cryptocurrency, on-chain governance, grassroots protocol stack, grassroots cryptoeconomy, digital social contracts, digital democracy, democratic DAO, blockchain"
Finding Effective Ad Allocations: How to Exploit User History,"A primary source of revenue for web platforms is digital advertising. Platforms typically maximize the effectiveness of advertising campaigns by exploiting user features (i.e., targeted advertising). However, performance can be further improved by leveraging user navigation history. In particular, the advent of new augmented reality platforms encourages users to spend a considerable amount of time in the same virtual environment, opening up the challenge of determining which ads to display and at which time of their experience. In this paper, we initiate the study of history-dependent advertising by providing a user model and optimized ad allocation algorithms. Our model assumes that users move through a series of scenes where they are exposed to ads. The performance of an ad may be influenced by various factors, such as the features of the scene in which it is displayed, the externalities of previously observed ads and the possibility that a user has already purchased the promoted product. We analyze the computational complexity of finding an optimal ad allocation for several model flavors and provide practical approximation algorithms with tight theoretical guarantees. We also discuss under which conditions our approximation algorithms are monotone according to Myerson's definition, thus leading to truthful auction mechanisms.","ad allocation, algorithmic advertising, mechanism design"
Distributed Mechanism Design in Social Networks,"Designing auctions to incentivize buyers to invite new buyers via their social connections is a new trend in mechanism design[18]. The challenge is that buyers are competitors and we need to design proper incentives for them to invite each other. For selling a single item, many interesting mechanisms have been proposed. However, all the mechanisms require the seller or a third party to be trustworthy to execute the mechanisms. In addition, the owner of the mechanism will know all the connections of the network after the execution, which poses a potential privacy issue. Hence, distributed mechanisms to avoid the privacy issue are more appealing in practice. Therefore, in this paper, we propose the first distributed mechanism in social networks without revealing buyers' private connections to anyone, and it achieves complete decentralization that does not rely on any trustworthy third party. Moreover, the centralized reduction of our mechanism also offers a novel way to compute players' contributions compared to the existing solutions.","distributed mechanism design, invitation incentive, social network"
Agent-Assisted Life-Long Education and Learning,"In this paper, we propose a novel approach to education and learning, in which digital agents take care of the life-long education and career development of their human partners. Agent consults requirements and preferences and proactively searches for opportunities by monitoring job markets, reflecting on educational options and challenges. Then, it adjusts the current academic program and coordinates the pathway facilitating the optimal desired outcome. We envision a Distributed Educational Agent Network (DEAN) of connected, trustworthy educational agents that securely communicate with each other to collectively carry out the above-mentioned tasks. We discuss the benefits and current and future challenges associated with the implementation of the proposed agent-assisted educational approach. Research and development of DEAN provide a unique opportunity for the agent community to design, implement and evaluate agent technologies in complex, large scale scenarios. In this paper, we also specify a proposal for a design of a DEAN agent, using skill development to monitor and drive education and career.","precision education, human-agent interaction, distributed agent marketplaces, agent-supported learning"
Modeling spatial-temporal context information in virtual worlds,"Currently, we use many definitions with diffuse boundaries: Web 2.0 (Social Networks), Web 3.0 (Semantic Web), Web 3D (Metaverses, Virtual Worlds, Mirror Worlds), Recommendation Systems, Augmented Reality, Geo-location... In this paper we explore the possibilities of the combined use of these concepts, we introduce the concept of VARD (Virtual Augmented Reality Device) and show interoperability between recommendation systems and Virtual Worlds. We have developed a Recommendation System which have two ways of interaction with the virtual world of Second Life in connection with context spatial-temporal information: an active recommendation system, called TESLAR, that interacts with avatars by a 2D HUD VARD object, and a passive and automatic recommendation system, called MarvinBot, that interacts with avatars by a Metabot VARD.","virtual worlds, second life, recommendation systems, multiagent systems, mirror worlds, metaverses, metabots, intelligent agents, context information, augmented reality"
ColSLAM: A Versatile Collaborative SLAM System for Mobile Phones Using Point-Line Features and Map Caching,"Over the past years, augmented reality (AR) based on mobile phones has gained great attention. When multiple phones are used in AR applications, collaborative simultaneous localization and mapping (SLAM) is considered one of the enabling technologies, i.e., multiple mobile phones complete the localization and mapping through collaboration. However, the state-of-the-art collaborative SLAM systems not only suffer from the delays introduced by a high-complexity graph optimization problem, but also may exhibit varying levels of accuracy across dissimilar environments or different types of mobile devices. In this paper, we propose a scalable and robust collaborative SLAM system, point-line-based Collaborative SLAM (ColSLAM). Technically, ColSLAM includes two innovative features that help achieve satisfactory scalability and robustness. First, a mapping cacher (MC) is designed for each agent on the server, which uses global keyframes to detect loop closures, updates the cached local map, and quickly responds to the agent's pose drifts. With MC, each agent's local pose is corrected using global knowledge in real-time. Secondly, to improve the robustness performance, ColSLAM employs point-line-fusion-based Visual Inertial Odometry (VIO), point-line-fusion-based NetVLAD loop detection, and an enhanced geometric verification and relative pose calculation method called PNPL. Empirical evaluations based on the EuRoc dataset and real degenerate environments demonstrate that ColSLAM outperforms the existing collaborative SLAM systems in terms of accuracy, robustness, and scalability.","augmented reality, collaborative slam, map caching, mobile phones, multi-agent, point-line features"
An Approach for Integrating 3D Virtual Worlds with Multiagent Systems,"Education is incorporating more and more of the capabilities provided by the Internet. One such move is the incorporation of 3D virtual worlds in the learning environment. Another is the increasing development of multiagent systems that support the learner or the tutor. Integrating pedagogically based multiagent systems with 3D virtual worlds could provide a more engaging immersive learning environment. This paper explores the feasibility of integrating a 3D virtual world with a pedagogical multiagent system named QuizMASter, an educational game for elearning that helps students learn their course material through friendly competition. The integration was developed by devising, implementing and testing an approach using open source technologies, namely, Open Wonderland and JADE. The result is encouraging as the integration is technically feasible, not overly difficult and opens a door to further integration opportunities.",Education;Multi User Virtual Environment;3D Virtual Worlds;Multiagent Systems
Multiagent interactions in distributed virtual worlds,"Multiagent systems provide a valuable tool for handling increasing software complexity and supporting rapid and accurate problem solving. This paper presents a general architecture in which autonomous agents are embedded in a distributed virtual environment and are enabled to communicate with each other. We focus on the interaction issues, using cooperation and coordination patterns. Different cases of the agents' teamwork to improve their efficiency are investigated and compared. A prototype system has been implemented, with message templates and algorithms identified. Finally, some experimental results are given.",
"A rumination on human-centered automation world: multiagent system, human interface and people's lifestyle","The cyberworld or cybersociety of the future is discussed with respect to: (i) its significance, (ii) the infrastructure of such a world, (iii) the plausible configurations of a cybersociety which comprises an information community of virtual schools, libraries, factories, offices, communities and homes, etc., connected via the information highway, and (iv) people's lifestyles. Then, human interfaces, virtual reality and agents are discussed as the key technologies for realizing the cybersociety. Lastly, an interface agent of a virtual collaborator is proposed as a humanized intelligent interface agent system for helping with the operation and maintenance tasks of automated plants in the future.",
A multiagent architecture for distributed virtual environments,"This paper introduces a distributed virtual reality platform based on oRis, our dynamic and interpreted multiagent language. This platform, called AReViDis, has been designed for collaborative interactive prototyping. Thanks to the dynamic properties of oRis, we propose to let the designers of a system enter inside the system and dynamically build and modify the model. During an AReViDis session, this language allows the addition or the modification of virtual agents in a distributed virtual environment. These modifications may either be introduced by the agents themselves or by the users through various human computer interfaces. These modifications may also be received by the network allowing communications in shared virtual worlds.",
Transforming Learning through Agent Augmented Virtual World,"Recent years have seen new forms of immersive learning such as interactive storytelling in virtual learning environment. Intelligent software agents are able to provide a more attractive narrative and get the users more involved in the unfolding of the story line in the virtual world. However, designing and implementing a software agent or a multi-agent system (MAS) for this purpose requires the developer to be highly skilled in agent oriented software engineering (AOSE) and a large investment in time and effort. This raises the hurdle to develop non-trivial agent augmented interactive e-learning applications. Our research proposes a framework - the multi-agent development environment (MADE) - to resolve this problem by abstracting the agent implementation part into a reusable runtime environment so as to enable less technically inclined people (e.g. teachers) and developers with limited knowledge in AOSE to rapidly prototype a multi-agent system to be incorporated into interactive learning applications.",Multi-agent Systems;Agent-augmented Virtual Environment;Agent-mediated Immersive Learning
Intelligent Objects to Facilitate Human Participation in Virtual Institutions,"Our research combines electronic institutions and 3D virtual worlds for the construction of virtual institutions which are virtual worlds with normative regulation of interactions. That is, a virtual world where participants actions have to comply with predefined institutional rules. In this context, the actions a participant may perform depend on the institutional rules and the current execution state. We propose to include iObjects, intelligent objects, as entities having both visualization properties and decision mechanisms in the virtual institution. They are a new key element to improve users participation in virtual institutions. We situate them in a middleware infrastructure in order to be independent of 3D virtual world platform and to provide a general solution in which participants could be connected from different immersive environment platforms.",virtual environments;normative multiagent systems;virtual institutions;intelligent objects
Real World Embedded Multiagent Systems: Simulation of Hardware/Software Mixed Agent Societes in Realistic Physical Models,"This paper present a multiagent framework which enables the design and the test of real world embedded multiagent systems based on decentralized intelligence. The associated demonstration insists on the interactions between real world and virtual agents, the simulation of realistic physical environment.",simulation;real world multiagent systems;embedded agents;environment model
Multimodal interaction in a haptic environment,"In this paper we investigate the introduction of haptics in a multimodal tutoring environment. In this environment a haptic device is used to control a virtual piece of sterile cotton and a virtual injection needle. Speech input and output is provided to interact with a virtual tutor, available as a talking head, and a virtual patient. We introduce the haptic tasks and how different agents in the multi-agent system are made responsible for them. Notes are provided about the way we introduce an affective model in the tutor agent.",
NEXUS: Fusing the Real & the Virtual,"The aim of this project has been to create NEXUS, a framework that supports fusion of the physical and the virtual, creating a single world in which people can interact with deliberative agents in their own space. This work promotes a more orthogonal perspective for the development of artificial systems and their functionality as tools. This NEXUS becomes a place in which virtual and physical information spaces become entwined, resulting in the entities that inhabit this space being able to interact in a seamless fashion. The level of interaction envisaged is not simply a matter of people controlling the form of a virtual space, or even one of artificial entities that control the form of a physical space. Instead, we view the NEXUS as a fusion of physical and virtual spaces in which a number of entities jointly interact. This then facilitates the coherent integration of humans and the digital information space",Augmented reality;control architectures;multi-agent systems
Agent Architectures for Intelligent Virtual Environments,"This paper presents a new approach to integrate artificial intelligence in virtual environments. The system presented deals in a separated way the visualization and intelligence modules, applying in this last case a distributed approach (multi-agent systems) so that scalable applications may be built. Therefore, it is necessary to define agent architectures that allow agents to be integrated in the VW. Thus, a designer is abstracted from the peculiarities of interacting with a virtual environment. There is a first prototype of the framework using JADE as the supporting multi-agent systems platform.",
Collaborative prototyping in distributed virtual reality using an agent communication language,"We describe our work on multiagent systems in a distributed virtual reality environment. Our main goal in the LI2 laboratory is to make interactive and co-operative prototyping for well defined systems. Users and software agents evolving in our virtual worlds can interact, communicate and modify their behavior. The article focuses on the way our agents communicate in a ""natural language"" by exchanging information and knowledge. For this purpose we have developed a communication language based on ""speech acts theory"" and on agent communication languages (ACL). The Knowledge Query Manipulation Language (KQML) is the ACL we have chosen to develop high level communication among ""intelligent agents"". To validate our developments and thus the KQML specifications, we have tested them in a contract net application. Contract net applications use communication mechanisms based on offers, bids, contracts and so on, which can be designed by KQML message exchanges.",
Agent mediation and management of virtual communities: a redefinition of the traditional community concept,The paper explores the evolution of the concept of community in the light of computer mediated immersive virtual environments. The traditional concept of community has become strained in its attempts to capture the evolving virtual community. We believe the concept of the virtual community is of paramount importance and examine the extent to which this is being redefined to cater for it. We examine the management and mediation of such an environment and specifically the social process associated with the cohabited users. We advocate the use of multi-agent systems in delivering this functionality.,
Multirobot cooperation on virtual environment using Volunteer Based Cooperation Protocol,"We develop an experimental platform for heterogeneous multirobot cooperation which has both advantages of two evaluations means for multirobot cooperation, experiment with real robots and simulation. In this system, the real robots interact with the virtual environment and efficient evaluation of the multirobot cooperation in various kinds of work fields is possible. Volunteer Based Cooperation Protocol is proposed to reduce communication cost required in the multirobot cooperation.",multi-agent systems;multirobot cooperation;virtual environment system
Using a Declarative Language to Describe the Interactions in Virtual Scenes,"A generic platform useful to design and run virtual scenes as a result of a human-like description is introduced. The present article describes the operation of one of the main components of such platform: the virtual-environment (VE) editor. The main goal of the VE editor is to allow a human description of a virtual scene and translate it, if errors-free, into a set of low-level commands. The modeler is provided a declarative language useful to: a) arrange the virtual entities using geometric constraints instead of geometrical data, b) assign personalities to virtual humans, and c) specify goals to be fulfilled by virtual humans. A scene takes place in a specific world. For every different world to model a set of rules must be defined. The VE editor allows the specification of some features related to a particular virtual world, including the following: actions and skills that can be performed, virtual entities acceptable, pre-and post- conditions for interactions, effect of natural laws (gravity, collisions), and a set of rules, which reject or allow the assignment of goals according to the state of virtual humans",
Virtual sensors for dynamic virtual environments,"This paper proposes a sensor-based mechanism that allows virtual creatures to perceive the environment that surrounds them. We are keen on modeling the behavior of real-life creatures via VR-techniques. Every living creature is endowed by a number of senses, by means of which, the creature is aware of the world around. We picture the environment as a multi-agent system, where every agent has, primarily, a knowledge base, a sensors and effectors to allow interaction. The effectors may launch actions (graphical changes), noises, messages or aromas. The sensors model, particularly, the sight, hearing and smell senses of a living creature. Every sensor has specific perception capabilities and gathers partial or full information about the objects around. Through the sensors, a virtual creature is aware of the environment and capable to increase the knowledge base. The local state of a creature can be amplified by allowing cooperation between agents",
