ID,Platform_Type
1,Social Metaverse
2,Robot Augmented Environment
3,Multi-Agent System
4,Metaverse
5,"Metaverse Console (MC), XR Users (XUs)"
6,Metaverse
7,HAPS-assisted IoV
8,Vehicular Edge Metaverse
9,Metaverse
10,Web 3.0 Metaverse
11,Cyber-Physical-Social System (CPSS)
12,VR Headset (HTC VIVE Pro)
13,Industrial Metaverse
14,Multi-camera wearable devices; Unity Simulator
15,IoT
16,Web service; IoT sensors
17,Disaster Assistance System
18,Industrial Internet of Things (IIoT)
19,PEMFC System
20,UAV-assisted communication networks
21,Metaverse Application Platform
22,Vehicular Metaverse
23,6G Network
24,Wireless Networks
25,Smart Manufacturing Platform
26,Multiaccess Edge Computing (MEC)
27,Educational Metaverse Platform
28,Distributed Computing and Communication Infrastructure
29,Network Scheduling Platform
30,Metaverse
31,Metaverse Simulation Platform
32,360° Video Streaming
33,Metaverse Platform
34,"UAVs, HAPS, IoT devices"
35,Metaverse Community Platform
36,Metaverse/Simulated Universes
37,6G Wireless Communication Platform
38,Vehicular Metaverse
39,6G Wireless Communication Platform
40,Vehicular Metaverse
41,6G Network Platform
42,Non-Terrestrial Networks (NTNs)
43,Metaverse Network Platform
44,UAV-assisted MCS
45,Aerial MEC and Terrestrial Network Platform
46,Virtual Environments
47,Wireless Network Platform with Mobile 
48,Cesium for Unreal + Unreal Engine 5
49,IoT Ecosystems and Metaverse Platform
50,"Metaverse, Distributed Systems"
51,IoT and Metaverse Platform
52,"Metaverse, Quantum Computing"
53,Metaverse and IoT Platform
54,"Metaverse, Blockchain"
55,UAV Metaverse Platform
56,Virtual Reality (VR)
57,Metaverse Platform
58,Metaverse and Blockchain Platform
59,Science Research Platform
60,Web of Things Platform
61,Video Game and Simulation Platform
62,UAV-assisted vehicular Metaverse
63,Virtual Social Group Platform
64,"VANET, IoRT"
65,Vehicular Metaverse Platform
66,Cybertwin-enabled 6G
67,Digital Twin
68,Simulation Platform
69,Metaverse
70,Metaverse
71,Simulation Platform
72,Simulation Platform
73,Simulation Platform
74,Simulation Platform
75,Simulation Platform
76,Simulation Platform
77,Simulation Platform
78,Simulation Platform
