ID,Source_Name
1,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS
2,"2019 4th International Conference on Control, Robotics and Cybernetics (CRC)"
3,Procedia Computer Science
4,Alexandria Engineering Journal
5,IEEE Journal on Selected Areas in Communications
6,2023 32nd Wireless and Optical Communications Conference (WOCC)
7,IEEE Transactions on Intelligent Vehicles
8,IEEE Internet of Things Journal
9,IEEE Internet of Things Journal
10,Computer Networks
11,IEEE Transactions on Computational Social Systems
12,Virtual Reality & Intelligent Hardware
13,Equilibrium. Quarterly Journal of Economics and Economic Policy
14,Image and Vision Computing
15,Proceedings of the IEEE
16,Research paper funded by Russian Science Foundation
17,14th International Conference on Computing Communication and Networking Technologies (ICCCNT)
18,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
19,Sustainable Energy Technologies and Assessments
20,The 20th International Wireless Communications & Mobile Computing Conference
21,"2024 IEEE International Conference on Metaverse Computing, Networking, and Applications (MetaCom)"
22,IEEE Conference Paper
23,2024 IEEE/CIC International Conference on Communications in China (ICCC Workshops)
24,"IEEE International Conference on Sensing, Communication, and Networking (SECON)"
25,Journal of Computational Science
26,IEEE Internet of Things Journal
27,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
28,IEEE Journal on Selected Areas in Communications
29,Applied Sciences
30,IEEE Transactions on Mobile Computing
31,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
32,IEEE Internet of Things Journal
33,Computer Networks
34,IEEE Transactions on Cognitive Communications and Networking
35,2023 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW)
36,Journal of Artificial Intelligence and Consciousness
37,2023 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)
38,IEEE Internet of Things Journal
39,IEEE Transactions on Wireless Communications
40,Companion Proceedings of the ACM Web Conference 2023 (WWW '23 Companion)
41,IEEE Transactions on Vehicular Technology
42,IEEE Journal on Selected Areas in Communications
43,IEEE Transactions on Mobile Computing
44,IEEE Journal on Selected Areas in Communications
45,2024 IEEE Global Communications Conference (GLOBECOM)
46,IEEE Conference on Computer Software and Applications (COMPSAC)
47,IEEE Transactions on Mobile Computing
48,Beijing KeCui Internal Technical Report
49,IEEE Internet of Things Journal
50,IEEE Conference on Metaverse Computing (MetaCom)
51,Sensors
52,IEEE/ACM Transactions on Networking
53,IEEE Journal on Selected Areas in Communications
54,International Conference on Intelligent Metaverse Technologies & Applications (IMETA)
55,IEEE Internet of Things Journal
56,Heliyon
57,JMIRx Med
58,International Journal of Web Services Research
59,KNOWLEDGE OF LIBRARY AND INFORMATION SCIENCE
60,Companion Proceedings of the ACM Web Conference 2023
61,IEEE Transactions on Computational Intelligence and AI in Games
62,IEEE/CAA Journal of Automatica Sinica
63,IEEE Transactions on Computational Social Systems
64,IEEE Internet of Things Journal
65,IEEE Internet of Things Journal
66,Digital Communications and Networks
67,IEEE Journal on Selected Areas in Communications
68,International Symposium on Computers in Education
69,2024 IEEE Smart World Congress (SWC)
70,2022 IEEE SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Metaverse
71,IOT
72,Proceedings of the 21st International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2022)
73,2023 IEEE Global Communications Conference (GC Wkshps)
74,"10th EAI International Conference, INISCOM 2024"
75,IEEE Transactions on Vehicular Technology
76,IEEE Transactions on Communications
77,Information Technology and Implementation
78,IEEE Access
