ID,Platform_Type
1,Social
2,Industrial
3,Simulation
4,Simulation
5,Social
6,Simulation
7,Simulation
8,Infrastructure
9,Simulation
10,Blockchain
11,Social
12,Social
13,Industrial
14,Simulation
15,Infrastructure
16,Infrastructure
17,Simulation
18,Infrastructure
19,Simulation
20,Infrastructure
21,Simulation
22,Infrastructure
23,Infrastructure
24,Infrastructure
25,Industrial
26,Infrastructure
27,Simulation
28,Infrastructure
29,Infrastructure
30,Simulation
31,Simulation
32,Simulation
33,Simulation
34,Infrastructure
35,Social
36,Simulation
37,Infrastructure
38,Infrastructure
39,Infrastructure
40,Infrastructure
41,Infrastructure
42,Infrastructure
43,Infrastructure
44,Infrastructure
45,Infrastructure
46,Simulation
47,Infrastructure
48,Simulation
49,Infrastructure
50,Blockchain
51,Infrastructure
52,Blockchain
53,Infrastructure
54,Blockchain
55,Infrastructure
56,Social
57,Simulation
58,Blockchain
59,Simulation
60,Blockchain
61,Simulation
62,Infrastructure
63,Social
64,Simulation
65,Infrastructure
66,Infrastructure
67,Simulation
68,Simulation
69,Simulation
70,Simulation
71,Simulation
72,Simulation
73,Simulation
74,Simulation
75,Simulation
76,Simulation
77,Simulation
78,Simulation
