ID,Standardized_Source_Name
1,Ieee Transactions On Computational Social Systems
2,"International Conference on Control, Robotics and Cybernetics (CRC)"
3,Procedia Computer Science
4,Alexandria Engineering Journal
5,IEEE Journal on Selected Areas in Communications
6,Wireless and Optical Communications Conference (WOCC)
7,IEEE Transactions on Intelligent Vehicles
8,IEEE Internet of Things Journal
9,IEEE Internet of Things Journal
10,Computer Networks
11,IEEE Transactions on Computational Social Systems
12,Virtual Reality & Intelligent Hardware
13,Equilibrium. Quarterly Journal of Economics and Economic Policy
14,Image and Vision Computing
15,Proceedings of the IEEE
16,Technical Report - Russian Science Foundation
17,International Conference on Computing Communication and Networking Technologies (ICCCNT)
18,Ieee Transactions On Industrial Informatics
19,Sustainable Energy Technologies and Assessments
20,International Wireless Communications & Mobile Computing Conference
21,"IEEE International Conference On Metaverse Computing, Networking, And Applications (Metacom)"
22,IEEE Conference (Unspecified)
23,IEEE/Cic International Conference On Communications In China (Iccc Workshops)
24,"IEEE International Conference On Sensing, Communication, And Networking (Secon)"
25,Journal of Computational Science
26,IEEE Internet of Things Journal
27,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
28,IEEE Journal on Selected Areas in Communications
29,Applied Sciences
30,IEEE Transactions on Mobile Computing
31,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
32,IEEE Internet of Things Journal
33,Computer Networks
34,IEEE Transactions on Cognitive Communications and Networking
35,IEEE Conference On Virtual Reality And 3D User Interfaces Abstracts And Workshops (Vrw)
36,Journal of Artificial Intelligence and Consciousness
37,IEEE Conference On Computer Communications Workshops (Infocom Wkshps)
38,IEEE Internet of Things Journal
39,IEEE Transactions on Wireless Communications
40,ACM Web Conference 2023 Companion Proceedings
41,IEEE Transactions on Vehicular Technology
42,IEEE Journal on Selected Areas in Communications
43,IEEE Transactions on Mobile Computing
44,IEEE Journal on Selected Areas in Communications
45,IEEE Global Communications Conference (Globecom)
46,IEEE Conference On Computer Software And Applications (Compsac)
47,IEEE Transactions on Mobile Computing
48,Internal Technical Report - KeCui Beijing
49,IEEE Internet of Things Journal
50,IEEE Conference On Metaverse Computing (Metacom)
51,Sensors (MDPI)
52,IEEE/ACM Transactions on Networking
53,IEEE Journal on Selected Areas in Communications
54,International Conference on Intelligent Metaverse Technologies & Applications (IMETA)
55,IEEE Internet of Things Journal
56,Heliyon
57,JMIRx Med
58,International Journal of Web Services Research
59,Knowledge of Library and Information Science
60,ACM Web Conference 2023 Companion Proceedings
61,IEEE Transactions on Computational Intelligence and AI in Games
62,IEEE/CAA Journal of Automatica Sinica
63,IEEE Transactions on Computational Social Systems
64,IEEE Internet of Things Journal
65,IEEE Internet of Things Journal
66,Digital Communications and Networks
67,IEEE Journal on Selected Areas in Communications
68,International Symposium on Computers in Education
69,IEEE Smart World Congress (SWC)
70,IEEE SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Metaverse
71,Iot
72,AAMAS
73,IEEE Global Communications Conference (Gc Wkshps)
74,"EAI International Conference, INISCOM 2024"
75,IEEE Transactions on Vehicular Technology
76,IEEE Transactions on Communications
77,Information Technology and Implementation
78,IEEE Access
