ID,System_Architecture
1,Three-layer
2,Three-layer
3,Other
4,Blockchain-based
5,Multi-agent
6,Other
7,Blockchain-based
8,Blockchain-based
9,Blockchain-based
10,Blockchain-based
11,Digital Twin
12,Other
13,Digital Twin
14,Other
15,Other
16,Multi-agent
17,Multi-agent
18,Blockchain-based
19,Multi-agent
20,Three-layer
21,Other
22,Multi-agent
23,Hierarchical / Multi-layer
24,Other
25,Other
26,Edge-Cloud
27,Multi-agent
28,Hierarchical / Multi-layer
29,Multi-agent
30,Hierarchical / Multi-layer
31,Multi-agent
32,Multi-agent
33,Other
34,Hierarchical / Multi-layer
35,Multi-agent
36,Other
37,Multi-agent
38,Multi-agent
39,Multi-agent
40,Multi-agent
41,Other
42,Hierarchical / Multi-layer
43,Three-layer
44,Other
45,Multi-agent
46,Other
47,Other
48,Multi-agent
49,Multi-agent
50,Other
51,Other
52,Other
53,Digital Twin
54,Blockchain-based
55,Other
56,Other
57,Digital Twin
58,Multi-agent
59,Multi-agent
60,Other
61,Multi-agent
62,Multi-agent
63,Multi-agent
64,Hierarchical / Multi-layer
65,Other
66,Other
67,Digital Twin
68,Multi-agent
69,Hierarchical / Multi-layer
70,Digital Twin
71,Other
72,Blockchain-based
73,Edge-Cloud
74,Edge-Cloud
75,Other
76,Edge-Cloud
77,Digital Twin
78,Blockchain-based
