单词,词频,颜色,角度,重复
metaverse,50,默认,默认,否
reinforcement learning,44,默认,默认,否
multi agent systems,29,默认,默认,否
blockchain,24,默认,默认,否
artificial intelligence,23,默认,默认,否
virtual reality,22,默认,默认,否
digital twin,21,默认,默认,否
resource allocation,20,默认,默认,否
edge computing,12,默认,默认,否
uav,11,默认,默认,否
iot,10,默认,默认,否
federated learning,8,默认,默认,否
communication,8,默认,默认,否
simulation,8,默认,默认,否
quality of experience qoe,6,默认,默认,否
social networks,6,默认,默认,否
graph neural networks,5,默认,默认,否
security,4,默认,默认,否
privacy,4,默认,默认,否
smart systems,4,默认,默认,否
stackelberg game,4,默认,默认,否
tools,3,默认,默认,否
digital democracy,3,默认,默认,否
avatar,3,默认,默认,否
semantic communication,3,默认,默认,否
trust,3,默认,默认,否
sensor,3,默认,默认,否
model optimization,3,默认,默认,否
6g,3,默认,默认,否
cyber physical systems,3,默认,默认,否
decision making,3,默认,默认,否
age of information,3,默认,默认,否
