ID,Title,Platform_Type,Agent_Role,Application_Domain,Evaluation_Method,Metrics,Challenges,Year,Venue
1,A Bayesian Framework-Based Digital Twin Wireless System Control,['Digital twins'],"['Coordinator', 'Executor']","['Industry 4.0', 'Smart cities']",['Simulation'],"['Efficiency', 'Accuracy']","['Scalability', 'Trust', 'Ethics']",2023,IEEE Journal On Selected Areas In Communications
2,A Cloud-Edge Service Offloading Method for Smart Manufacturing Metaverse,"['VR/AR', 'Digital twins']","['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Accuracy']","['Scalability', 'Trust', 'Ethics']",2023,Software: Practice and Experience
3,A Conceptual Framework for Digital Twins of Multi-Agent Systems,"['Digital twins', 'Social simulation']","['Executor', 'Environment simulator']","['Healthcare', 'Smart cities']",['Simulation'],"['Accuracy', 'Realism']","['Scalability', 'Realism']",2025,Procedia Computer Science
4,A Distributed Asset Trading Mechanism Based on Automated Negotiation,['Blockchain-based'],"['Executor', 'Assistant']","['Smart cities', 'Education']",['Simulation'],"['Task completion', 'Accuracy', 'Latency']",['Trust'],2023,"IEEE International Conference on Metaverse Computing, Networking, and Applications"
5,A Graph-Assisted Digital-Twin-Driven Multiagent Shared Offloading for Internet of Vehicles,['Digital twins'],"['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']",2025,IEEE IoT Journal
6,A Metaverse-Based Teaching Building Evacuation Training System With Deep Reinforcement Learning,"['VR/AR', 'Social simulation']","['Coordinator', 'Environment simulator']","['Education', 'Emergency response']",['Simulation'],"['Task completion', 'Realism']","['Realism', 'Scalability']",2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
7,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges","['VR/AR', 'Game-based', 'Social simulation']","['Avatar', 'Assistant', 'Environment simulator']","['Education', 'Gaming', 'Social interaction', 'Healthcare']","['Simulation', 'Case studies']","['Realism', 'Accuracy', 'User satisfaction']","['Scalability', 'Ethics', 'Realism']",2022,IEEE Access
8,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,"['VR/AR', 'Social simulation']","['Coordinator', 'Executor']","['Education', 'Gaming', 'Industry 4.0', 'Smart cities']",['Simulation'],"['Latency', 'Task completion', 'Accuracy']","['Scalability', 'Trust']",2023,Wireless And Optical Communications Conference
9,A Review of Platforms for Simulating Embodied Agents in 3D Virtual Environments,"['Game-based', 'Social simulation', 'VR/AR']","['Executor', 'Environment simulator']","['Gaming', 'Smart cities', 'Education']","['Simulation', 'Benchmarks']","['Realism', 'Accuracy', 'Task completion']","['Scalability', 'Realism', 'Interoperability']",2023,Artificial Intelligence Review
10,A Robot Augmented Environment Based on ROS multi-Agent Structure,"['Digital twins', 'Social simulation']","['Executor', 'Coordinator']",['Industry 4.0'],['Simulation'],"['Task completion', 'Accuracy']","['Realism', 'Interoperability']",2019,"International Conference On Control, Robotics And Cybernetics"
11,"A Virtual Laboratory for Multiagent Systems: Joining Efficacy, Learning Analytics and Student Satisfaction",['Social simulation'],"['Executor', 'Environment simulator']",['Education'],"['Simulation', 'User studies', 'Qualitative methods']","['Task completion', 'User satisfaction', 'Accuracy']","['Scalability', 'Interoperability']",2016,International Symposium On Computers In Education
12,A-MADDPG Based Partial Offloading in Digital Twin Edge Network (DITEN) Empowered IIoT,['Digital twins'],"['Executor', 'Coordinator']",['Industry 4.0'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']",2024,IEEE International Symposium on Parallel and Distributed Processing and Applications
13,Adaptive Digital Twin and Multiagent Deep Reinforcement Learning for Vehicular Edge Computing and Networks,['Digital twins'],"['Executor', 'Coordinator']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Task completion', 'Accuracy']","['Scalability', 'Realism']",2022,IEEE Transactions on Industrial Informatics
14,Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,"['VR/AR', 'Social simulation']","['Coordinator', 'Executor']","['Gaming', 'Social interaction']","['Simulation', 'User studies']","['Latency', 'User satisfaction', 'Realism']","['Scalability', 'Ethics', 'Trust']",2025,IEEE Transactions On Computational Social Systems
15,Adaptive solutions for metaverse urban mobility through decision-making and blockchain,"['Digital twins', 'Blockchain-based']","['Coordinator', 'Executor']",['Smart cities'],"['User studies', 'Qualitative methods']","['Accuracy', 'User satisfaction', 'Task completion']","['Trust', 'Ethics', 'Interoperability']",2024,Alexandria Engineering Journal
16,"AI-Assisted Edge Caching for Metaverse of Connected and Automated Vehicles: Proposal, Challenges, and Future Perspectives","['Digital twins', 'Blockchain-based']","['Executor', 'Coordinator']","['Smart cities', 'Industry 4.0']",['Simulation'],['Task completion'],"['Scalability', 'Trust', 'Ethics']",2023,IEEE Vehicular Technology Magazine
17,AI-Enabled Network-Functions Virtualization and Software-Defined Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile Wireless Networks,['Social simulation'],"['Coordinator', 'Executor']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Accuracy', 'Latency', 'Task completion']","['Scalability', 'Interoperability']",2023,IEEE Network
18,Application of Traffic Light Control in Oversaturated Urban Network Using Multi-Agent Deep Reinforcement Learning,['Social simulation'],"['Coordinator', 'Executor']",['Smart cities'],['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Realism']",2024,IEEE Access
19,"Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions","['Digital twins', 'VR/AR', 'Social simulation']","['Avatar', 'Coordinator', 'Executor']",['Smart cities'],"['Simulation', 'Case studies']","['Realism', 'Accuracy', 'User satisfaction']","['Scalability', 'Interoperability', 'Ethics']",2024,Electronics
20,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications,"['Digital twins', 'VR/AR']","['Executor', 'Coordinator']","['Gaming', 'Social interaction']",['Simulation'],"['Latency', 'Task completion', 'Accuracy']","['Scalability', 'Realism']",2023,IEEE Journal On Selected Areas In Communications
21,Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse,"['Blockchain-based', 'Digital twins']","['Avatar', 'Executor']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability', 'Trust', 'Ethics']",2024,IEEE Internet Of Things Journal
22,Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks- A Hierarchical Multi-Agent DRL Approach,['Blockchain-based'],"['Coordinator', 'Executor']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability', 'Trust']",2024,IEEE Internet Of Things Journal
23,Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach,"['Blockchain-based', 'Digital twins']","['Executor', 'Coordinator']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2024,IEEE Transactions On Intelligent Vehicles
